Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido

Restrições da consulta:
Código da Estação:66600000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;DataLiq;HoraLiq;NumMedicaoLiq;Cota;Vazao;AreaMolhada;Largura;VelMedia;ConcentracaoMatSuspensao;CotaDeMedicao;TemperaturaDaAgua;ConcentracaoDaAmostraExtra;CondutividadeEletrica;Observacoes
66600000;1;09/12/2023;01/01/1900 12:50;92;09/12/2023;01/01/1900 11:03;92;219;"143,11";"249,901";"133,403";"0,573";"24,7";219;"31,6";;"13,39";
66600000;1;16/08/2023;01/01/1900 09:52;91;16/08/2023;01/01/1900 09:52;91;208;"128,11";"233,429";"87,6";"0,549";"13,0";208;"25,6";;"47,4";
66600000;1;28/04/2023;01/01/1900 11:00;90;28/04/2023;01/01/1900 08:53;90;368;"359,0";"439,6";"140,1";"0,816";"5,3";368;"26,6";;"86,7";
66600000;1;23/06/2022;01/01/1900 11:20;88;23/06/2022;01/01/1900 10:16;88;244;"177,0";"279,6";"135,7";"0,634";"9,5";244;"24,4";;"57,7";
66600000;1;26/01/2021;01/01/1900 14:45;85;26/01/2021;01/01/1900 13:00;85;267;"207,912";"297,696";"114,838";"0,698";"20,6";267;"30,8";;"17,1";
66600000;1;07/02/2020;01/01/1900 10:23;84;07/02/2020;01/01/1900 16:03;84;267;"216,548";"338,17";"136,7";"0,64";"517,0";267;"30,2";;"32,1";"Presença de areia fina no sedimento,"
66600000;1;24/11/2019;01/01/1900 10:48;83;24/11/2019;01/01/1900 10:15;83;236;"171,897";"283,25";"133,16";"0,618";"28,6";238;"30,7";;"8,8";
66600000;1;26/05/2019;01/01/1900 11:11;81;26/05/2019;01/01/1900 10:55;81;302;"264,0";"365,1";"138,0";"0,723";"14,5";302;"23,7";;"30,0";
66600000;1;22/02/2019;01/01/1900 11:01;80;22/02/2019;01/01/1900 09:39;80;336;"316,0";"412,7";"134,9";"0,765";"15,5";336;"28,3";;"25,2";
66600000;1;17/11/2018;01/01/1900 10:27;79;17/11/2018;01/01/1900 08:02;79;280;"244,0";"352,0";"134,9";"0,694";"29,1";280;"30,0";;"3575,0";
66600000;1;19/05/2018;01/01/1900 11:25;77;19/05/2018;01/01/1900 10:02;77;303;"269,271";"350,52";"136,7";"0,768";"16,7";303;"26,6";;"19,3";
66600000;1;16/02/2018;01/01/1900 10:16;76;16/02/2018;01/01/1900 10:08;76;369;"360,566";"435,494";"134,88";"0,822";"32,9";369;"29,0";;"25,0";
66600000;1;01/11/2017;01/01/1900 09:25;75;01/11/2017;01/01/1900 09:19;75;209;"131,831";"243,562";"123,16";"0,541";"14,7";209;"27,0";;"27,5";
66600000;1;05/08/2017;01/01/1900 11:45;74;05/08/2017;01/01/1900 10:41;74;214;"140,702";"249,196";"132,2";"0,565";"11,2";213;"22,5";;"26,0";
66600000;1;05/06/2017;01/01/1900 11:25;73;05/06/2017;01/01/1900 10:01;73;254;"199,392";"304,962";"133,39";"0,654";"230,8";254;"25,9";;"56,1";
66600000;1;19/02/2017;01/01/1900 12:10;72;19/02/2017;01/01/1900 10:57;72;375;"375,935";"455,291";"136,0";"0,855";"8,9";375;"28,7";;"37,4";
66600000;1;17/09/2016;01/01/1900 11:09;71;17/09/2016;01/01/1900 10:30;71;216;"148,776";"265,589";"132,53";"0,559";"18,7";216;"26,1";;"33,7";
66600000;1;12/06/2016;01/01/1900 11:48;70;12/06/2016;01/01/1900 10:40;70;251;"191,6";"297,24";"133,87";"0,652";"18,7";251;"22,2";;"8,6";
66600000;1;25/02/2016;01/01/1900 11:54;69;25/02/2016;01/01/1900 10:05;69;323;"301,445";"411,313";"121,18";"0,722";"16,6";323;"28,8";;;
66600000;1;23/09/2015;01/01/1900 12:30;68;23/09/2015;01/01/1900 11:13;68;237;"175,692";"308,87";"133,29";"0,564";"21,2";237;;;;
