Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido

Restrições da consulta:
Código da Estação:66340000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;DataLiq;HoraLiq;NumMedicaoLiq;Cota;Vazao;AreaMolhada;Largura;VelMedia;ConcentracaoMatSuspensao;CotaDeMedicao;TemperaturaDaAgua;ConcentracaoDaAmostraExtra;CondutividadeEletrica;Observacoes
66340000;1;13/12/2023;01/01/1900 11:20;94;13/12/2023;01/01/1900 10:37;94;122;"158,287";"265,968";"147,857";"0,595";"76,9";94;"32,8";;"57,41";
66340000;1;18/08/2023;01/01/1900 11:10;93;18/08/2023;01/01/1900 11:10;93;100;"137,74";"246,156";"112,7";"0,56";"55,0";100;"27,7";;"142,2";
66340000;1;19/04/2023;01/01/1900 11:00;92;19/04/2023;01/01/1900 10:01;92;414;"554,0";"735,5";"165,6";"0,753";"21,7";414;"28,8";;"1747,0";
66340000;1;20/06/2022;01/01/1900 11:15;90;20/06/2022;01/01/1900 10:00;90;143;"178,0";"281,4";"147,7";"0,631";"76,9";143;"23,1";;"80,9";
66340000;1;21/01/2021;01/01/1900 13:50;87;21/01/2021;01/01/1900 11:00;87;181;"234,184";"395,409";"135,721";"0,592";"74,4";181;"31,2";;"68,2";
66340000;1;31/01/2020;01/01/1900 11:05;86;31/01/2020;01/01/1900 09:42;86;247;"299,709";"452,4";"144,88";"0,663";"59,5";247;"30,8";;"61,0";
66340000;1;15/11/2019;01/01/1900 11:48;85;15/11/2019;01/01/1900 11:05;85;155;"194,327";"307,91";"153,45";"0,625";"75,1";155;"29,7";;"66,5";
66340000;1;22/05/2019;01/01/1900 11:23;83;22/05/2019;01/01/1900 11:04;83;402;"538,0";"712,6";"185,5";"0,755";"25,9";402;"26,3";;"68,1";
66340000;1;15/02/2019;01/01/1900 11:42;82;15/02/2019;01/01/1900 10:27;82;355;"450,0";"680,0";"181,9";"0,663";"34,2";355;"30,3";;"58,7";
66340000;1;09/11/2018;01/01/1900 10:48;81;09/11/2018;01/01/1900 08:19;81;196;"248,0";"374,6";"151,5";"0,663";"92,6";196;"30,3";;"460,6";
66340000;1;22/05/2018;01/01/1900 12:25;79;22/05/2018;01/01/1900 10:24;79;321;"394,21";"540,6";"167,0";"0,729";"42,9";321;"24,6";;"96,0";
66340000;1;12/02/2018;01/01/1900 12:23;78;12/02/2018;01/01/1900 10:57;78;411;"548,239";"742,193";"188,04";"0,733";"30,7";411;"29,1";;"66,9";
66340000;1;23/10/2017;01/01/1900 12:18;77;23/10/2017;01/01/1900 11:26;77;145;"168,466";"283,458";"150,35";"0,598";"69,4";145;"28,2";;"65,0";
66340000;1;29/07/2017;01/01/1900 10:10;76;29/07/2017;01/01/1900 08:50;76;151;"177,576";"266,526";"149,5";"0,666";"53,6";151;"24,3";;"87,6";
66340000;1;29/05/2017;01/01/1900 10:44;75;29/05/2017;01/01/1900 09:11;75;316;"377,137";"551,052";"167,15";"0,706";"433,0";316;"26,8";;"104,6";
66340000;1;13/02/2017;01/01/1900 11:53;74;13/02/2017;01/01/1900 10:28;74;398;"524,299";"740,181";"185,35";"0,71";"41,5";398;"28,4";;"87,2";
