Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido

Restrições da consulta:
Código da Estação:66470000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;DataLiq;HoraLiq;NumMedicaoLiq;Cota;Vazao;AreaMolhada;Largura;VelMedia;ConcentracaoMatSuspensao;CotaDeMedicao;TemperaturaDaAgua;ConcentracaoDaAmostraExtra;CondutividadeEletrica;Observacoes
66470000;1;24/08/2023;01/01/1900 09:58;118;24/08/2023;01/01/1900 09:58;118;72;"112,97";"233,429";"70,06";"0,484";"98,4";72;"27,9";;"43,7";
66470000;1;24/04/2023;01/01/1900 16:00;117;24/04/2023;01/01/1900 15:13;117;344;"400,0";"356,7";"83,5";"1,12";"223,7";344;"28,4";;"117,5";
66470000;1;16/06/2022;01/01/1900 15:30;115;16/06/2022;01/01/1900 14:13;115;137;"171,0";"216,8";"74,2";"0,789";"103,6";137;"23,6";;"55,4";
66470000;1;29/01/2021;01/01/1900 10:00;112;29/01/2021;01/01/1900 08:30;112;286;"301,136";"283,272";"81,013";"1,063";"318,3";284;"28,5";;"27,6";
66470000;1;05/02/2020;01/01/1900 18:18;111;05/02/2020;01/01/1900 12:31;111;269;"299,895";"292,71";"82,21";"1,025";"368,3";269;"30,8";;"35,7";
66470000;1;18/11/2019;01/01/1900 16:05;110;18/11/2019;01/01/1900 15:08;110;160;"187,864";"218,42";"83,53";"0,961";"171,7";160;"30,9";;"36,9";
66470000;1;27/05/2019;01/01/1900 14:04;108;27/05/2019;01/01/1900 13:51;108;263;"285,0";"309,1";"81,2";"0,923";"245,2";263;"25,5";;"35,4";
66470000;1;20/02/2019;01/01/1900 18:56;107;20/02/2019;01/01/1900 17:53;107;340;"397,0";"370,6";"83,7";"1,07";"381,7";340;"29,1";;"42,1";
66470000;1;15/11/2018;01/01/1900 11:20;106;15/11/2018;01/01/1900 08:45;106;329;"367,0";"323,1";"81,2";"1,14";"465,0";329;"29,5";;"1085,0";
66470000;1;21/05/2018;01/01/1900 13:48;104;21/05/2018;01/01/1900 12:40;104;222;"241,312";"269,08";"80,0";"0,897";"2,5";232;"25,5";;"7,1";
66470000;1;09/02/2018;01/01/1900 20:43;103;09/02/2018;01/01/1900 19:53;103;342;"369,784";"347,497";"81,966";"1,035";"258,8";342;"30,4";;"39,5";
66470000;1;25/10/2017;01/01/1900 11:48;102;25/10/2017;01/01/1900 11:11;102;99;"124,907";"160,344";"71,34";"0,79";"105,9";99;"29,2";;"34,8";
66470000;1;30/05/2017;01/01/1900 15:58;101;30/05/2017;01/01/1900 14:50;101;237;"245,03";"274,505";"80,04";"0,924";"294,5";237;"27,2";;"36,8";
66470000;1;09/02/2017;01/01/1900 19:40;100;09/02/2017;01/01/1900 18:54;100;340;"349,099";"346,175";"83,76";"1,076";"432,0";340;"29,4";;"60,3";
66470000;1;06/06/2016;01/01/1900 16:56;99;06/06/2016;01/01/1900 15:20;99;200;"208,279";"245,39";"79,24";"0,874";"141,4";200;"27,9";;"18,7";
66470000;1;20/02/2016;01/01/1900 09:05;98;20/02/2016;01/01/1900 08:27;98;320;"324,126";"339,487";"75,26";"0,963";"267,3";320;"29,4";;;
66470000;1;17/09/2015;01/01/1900 17:44;97;17/09/2015;01/01/1900 16:27;97;143;"159,111";"201,29";"79,27";"0,823";"147,4";143;;;;
66470000;1;16/06/2015;01/01/1900 08:52;96;16/06/2015;01/01/1900 07:27;96;218;"239,77";"275,839";"78,8";"0,869";"150,1";218;"25,97";;;
66470000;1;09/02/2015;01/01/1900 17:13;95;09/02/2015;01/01/1900 15:18;95;369;"265,414";"301,27";"81,091";"0,917";"243,0";269;"29,83";;;
66470000;1;24/09/2014;01/01/1900 09:08;94;24/09/2014;01/01/1900 07:37;94;128;"145,554";"184,1";"76,57";"0,812";"19,2";128;;;;
66470000;1;05/06/2014;01/01/1900 17:08;93;05/06/2014;01/01/1900 15:26;93;245;"248,191";"282,14";"78,92";"0,901";"194,0";245;"26,49";;;
66470000;1;10/02/2014;01/01/1900 17:30;92;10/02/2014;01/01/1900 15:26;92;324;"337,143";"341,719";"81,26";"1,054";"319,1";324;"29,65";;;
66470000;1;28/08/2013;01/01/1900 15:15;91;28/08/2013;01/01/1900 13:36;91;113;"130,045";"174,634";"74,5";"0,757";"76,0";113;"27,0";;;
66470000;1;07/06/2013;01/01/1900 11:25;90;07/06/2013;01/01/1900 10:08;90;283;"298,812";"330,289";"82,47";"0,888";"351,6";283;;;;
66470000;1;12/03/2013;01/01/1900 19:00;89;12/03/2013;01/01/1900 16:23;89;337;"372,378";"362,754";"82,6";"1,026";"335,6";337;"30,3";"252,1";"32,1";
66470000;1;16/07/2012;01/01/1900 17:15;87;16/07/2012;01/01/1900 15:30;87;157;"182,946";"211,681";"77,8";"0,864";"80,0";157;"25,2";"96,4";"47,4";
66470000;1;20/04/2012;01/01/1900 08:21;86;20/04/2012;01/01/1900 07:03;86;263;"281,319";"305,344";"79,4";"0,922";"162,8";263;"29,3";"206,3";"32,47";
66470000;1;23/11/2011;01/01/1900 18:36;85;23/11/2011;01/01/1900 17:20;85;131;"158,181";"183,633";"75,6";"0,861";"148,9";131;"30,91";"645,6";"58,78";
66470000;1;26/08/2011;01/01/1900 14:20;84;26/08/2011;01/01/1900 14:18;84;104;"149,713";"173,96";"72,2";"0,842";"84,87";104;"25,2";"72,83";"25,81";
66470000;1;12/05/2010;01/01/1900 18:25;81;13/05/2010;01/01/1900 16:50;81;233;"258,0";"279,0";"78,7";"0,925";"118,52";233;"17,0";"94,06";"29,3";
66470000;1;12/05/2010;01/01/1900 17:45;81;13/05/2010;01/01/1900 18:25;;233;"257,785";"278,675";"78,7";"0,925";"118,52";233;"17,0";"94,06";"29,3";
66470000;1;25/01/2010;01/01/1900 18:30;80;25/01/2010;01/01/1900 16:03;80;334;"402,32";"352,487";"87,4";"1,141";"166,52";334;"29,3";"143,4";"42,73";
66470000;1;19/10/2009;01/01/1900 18:00;79;19/10/2009;01/01/1900 16:32;79;114;"147,204";"175,437";"73,3";"0,839";"109,04";114;"31,5";"94,8";"26,11";
66470000;1;23/07/2009;01/01/1900 12:15;78;23/07/2009;01/01/1900 09:18;78;138;"228,0";"198,0";"75,3";"1,149";"125,67";138;"26,2";"103,9";"35,68";
66470000;1;31/03/2009;01/01/1900 09:00;77;31/03/2009;01/01/1900 07:05;77;330;"407,0";"365,0";"88,0";"1,116";"365,6";330;"27,2";"255,4";"30,41";
66470000;1;24/09/2008;01/01/1900 10:35;76;24/09/2008;01/01/1900 08:15;76;92;"191,0";"169,0";"70,0";"1,129";"139,92";92;"23,2";"116,09";"28,0";
66470000;1;26/06/2008;01/01/1900 12:10;75;26/06/2008;01/01/1900 09:08;75;183;"217,0";"242,0";"80,2";"0,897";"166,65";183;"23,9";"96,65";"34,0";
