Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoSecao: 1 = Régua, 2 = Medição

Restrições da consulta:
Código da Estação:66070004


EstacaoCodigo;NivelConsistencia;Data;Hora;NumLevantamento;TipoSecao;NumVerticais;DistanciaPIPF;EixoXDistMaxima;EixoXDistMinima;EixoYCotaMaxima;EixoYCotaMinima;ElmGeomPassoCota;Observacoes;Vertical
66070004;1;14/11/2022;;;2;38;"319,8";;;;;"10,0";;",643|5,616|10,585|14,523|15,434|16,8,323|18,2,275|20,2,224|22,2,168|24,7,100|27,2,64|34,2,-36|35,7,-46|38,7,-56|52,7,-46|56,2,-36|75,2,-36|80,2,-66|91,2,-92|110,5,-94|138,9,-176|155,2,-155|171,6,-85|208,6,-169|227,-281|234,6,-80|240,6,64|242,4,124|243,217|243,9,276|244,5,324|259,5,329|274,5,294|289,5,286|297,5,284|300,5,282|310,5,328|319,8,372|"
66070004;1;20/08/2021;;;2;42;"224,0";;;;;"10,0";;",666|10,640|14,556|17,533|18,473|19,5,374|20,5,302|21,5,264|22,5,235|23,5,209|25,5,157|27,5,103|29,5,71|32,9,43|35,9,-99|41,2,-198|47,7,-235|62,5,-220|66,6,-231|96,7,-182|100,7,-209|106,7,-187|117,1,-175|120,8,-207|133,2,-157|140,4,-166|143,4,-187|149,5,-155|152,5,-198|157,9,-217|170,9,-145|184,7,-65|199,4,-42|203,4,-58|206,4,43|208,4,135|208,9,195|210,9,279|211,4,344|215,4,352|219,4,351|223,5,347|"
66070004;1;31/07/2019;;;2;38;"267,0";;;;;"10,0";;",665|4,8,642|9,8,615|14,8,576|16,8,552|17,8,509|18,7,414|19,9,337|21,4,292|22,5,253|23,8,207|25,1,167|26,3,134|33,82,-32|44,1,-49|57,8,-54|71,3,-37|85,5,7|100,1,14|108,3,7|119,3,6|138,3,-26|159,3,-63|175,3,-54|190,3,-122|203,3,-119|216,3,-161|227,3,-188|238,3,-212|244,3,-216|251,3,-182|260,3,134|261,7,196|263,1,323|264,6,321|267,333|271,324|276,7,326|"
66070004;1;31/07/2019;;;2;38;"267,0";"0,0";"0,0";"0,0";"0,0";"10,0";;",665|4,8,642|9,8,615|14,8,576|16,8,552|17,8,509|18,7,414|19,9,337|21,4,292|22,5,253|23,8,207|25,1,167|26,3,134|33,82,-32|44,1,-49|57,8,-54|71,3,-37|85,5,7|100,1,14|108,3,7|119,3,6|138,3,-26|159,3,-63|175,3,-54|190,3,-122|203,3,-119|216,3,-161|227,3,-188|238,3,-212|244,3,-216|251,3,-182|260,3,134|261,7,196|263,1,323|264,6,321|267,333|271,324|276,7,326|"
66070004;2;31/07/2019;01/01/1900 00:00;0;2;38;"276,7";"304,7";"28,0";"665,0";"-216,0";"1,0";"Aplicado deslocamento horizontal de 28 m,";"5,8,509|46,7,414|47,9,337|49,4,292|50,5,253|51,8,207|53,1,167|54,3,134|61,82,-32|72,1,-49|85,8,-54|99,3,-37|113,5,7|128,1,14|136,3,7|147,3,6|166,3,-26|187,3,-63|203,3,-54|218,3,-122|231,3,-119|244,3,-161|255,3,-188|266,3,-212|272,3,-216|279,3,-182|288,3,134|289,7,196|291,1,323|292,6,321|295,333|299,324|304,7,326|28,665|32,8,642|37,8,615|42,8,576|44,8,552|"
66070004;2;09/07/2018;01/01/1900 00:00;0;2;43;"277,27";"304,27";"27,0";"661,0";"-273,0";"1,0";"Aplicado deslocamento horizontal de 27 m,";"7,661|32,638|36,8,613|41,8,575|44,8,510|45,8,436|46,8,366|47,8,312|49,6,235|51,1,197|52,3,161|59,7,-13|70,09,-51|80,58,-33|90,78,-6|100,76,-5|109,4,-10|120,88,-2|132,1,1|143,19,-19|153,55,25|160,24,19|171,3,-29|181,64,-27|190,72,-56|201,58,-62|210,45,-86|221,69,-125|231,35,-104|242,39,-145|251,83,-164|262,6,-162|269,31,-187|275,92,-273|283,93,-177|285,07,-69|288,07,161|288,87,201|289,87,222|290,67,294|294,67,343|300,47,353|304,27,349|"
66070004;1;09/07/2018;;;2;43;"227,27";;;;;"10,0";;",661|5,638|9,8,613|14,8,575|17,8,510|18,8,436|19,8,366|20,8,312|22,6,235|24,1,197|25,3,161|32,7,-13|43,09,-51|53,58,-33|63,78,-6|73,76,-5|82,4,-10|93,88,-2|105,1,1|116,19,-19|126,55,25|133,24,19|144,3,-29|154,64,-27|163,72,-56|174,58,-62|183,45,-86|194,69,-125|204,35,-104|215,39,-145|224,83,-164|235,6,-162|242,31,-187|248,92,-273|256,93,-177|258,07,-69|261,07,161|261,87,201|262,87,222|263,67,294|267,67,343|273,47,353|277,27,349|"
66070004;1;29/06/2017;;;2;43;"269,37";;;;;"10,0";;",749|5,722|10,8,702|20,8,649|25,8,615|28,3,563|29,6,479|30,7,374|32,1,332|33,4,284|35,1,188|37,1,119|47,41,-14|57,3,-52|67,68,-36|77,15,-20|87,3,1|97,76,-11|107,65,18|117,33,11|127,52,41|137,21,27|147,1,9|157,23,51|167,56,18|177,72,-25|187,32,-68|197,69,-113|207,81,-127|217,66,-155|227,19,-147|237,57,-168|247,23,-204|257,18,-221|267,2,-102|270,67,90|272,67,188|273,67,238|274,67,302|275,27,342|280,17,355|285,17,346|289,87,347|"
66070004;2;29/06/2017;01/01/1900 00:00;0;2;43;"289,87";"309,87";"20,0";"749,0";"-221,0";"1,0";"Aplicado deslocamento horizontal de 20 m,";"0,749|25,722|30,8,702|40,8,649|45,8,615|48,3,563|49,6,479|50,7,374|52,1,332|53,4,284|55,1,188|57,1,119|67,41,-14|77,3,-52|87,68,-36|97,15,-20|107,3,1|117,76,-11|127,65,18|137,33,11|147,52,41|157,21,27|167,1,9|177,23,51|187,56,18|197,72,-25|207,32,-68|217,69,-113|227,81,-127|237,66,-155|247,19,-147|257,57,-168|267,23,-204|277,18,-221|287,2,-102|290,67,90|292,67,188|293,67,238|294,67,302|295,27,342|300,17,355|305,17,346|309,87,347|"
66070004;2;11/08/2016;01/01/1900 00:00;0;2;38;"293,22";"311,22";"18,0";"721,0";"-208,0";"1,0";"Aplicado deslocamento horizontal de 18 m,";"8,721|301,22,353|311,22,340|28,669|39,6,609|44,6,560|46,6,476|48,3,337|51,254|54,169|56,124|57,5,89|60,5,22|71,47,-8|82,73,-41|93,65,-54|105,58,-44|118,76,-29|131,99,8|143,65,15|155,28,5|167,42,-3|179,61,-20|191,66,-46|203,56,-104|216,1,-91|228,67,-115|241,28,-125|252,7,-206|264,01,-185|272,74,-208|284,99,-162|288,72,-19|291,72,89|292,62,122|293,62,195|294,62,289|295,42,350|"
