Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: Indica se a medição é média diaria ou instantânea.  0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:66941000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
66941000;1;01/02/2024;;1;1;"101,7609";"51,9774";"69,2495";18;3;1;1;1;;0;"57,6051";"53,6413";"51,9774";"68,9271";"65,8689";"71,1008";"75,2093";"81,7095";"67,0855";"83,7016";"84,3698";"74,89";"67,0855";"62,8666";"59,9208";"56,461";"59,9208";"101,7609";"94,6479";"83,3682";"74,5712";"66,4761";"61,9769";"57,6051";"55,3262";"54,2006";"68,9271";"78,1077";"68,9271";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
66941000;1;01/12/2023;;1;1;"129,0482";"47,6439";"83,6257";11;9;1;1;1;"0,0";0;"109,8223";"97,4683";"82,0402";"68,9271";"63,7614";"57,3182";"52,5297";"48,9818";"47,6439";"61,3866";"129,0482";"111,6887";"115,0799";"121,596";"121,9838";"105,3946";"96,0539";"87,0642";"68,311";"56,7462";"52,8068";"50,3346";"47,9103";"49,7917";"56,7462";"94,9986";"114,3228";"105,3946";"115,0799";"118,1284";"84,0354";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
66941000;1;01/11/2023;;1;1;"68,0038";"40,9287";"49,7943";30;24;1;1;1;"0,0";0;"60,7986";"57,3182";"54,2006";"53,3626";"51,9774";"51,1534";"50,607";"50,0629";"49,2512";"48,9818";"48,4449";"47,3781";"46,8482";"45,7958";"45,2732";"44,7529";"44,4937";"45,0128";"43,463";"42,9512";"42,4419";"42,1882";"41,6826";"40,9287";"65,5661";"58,7584";"52,8068";"50,8799";"48,4449";"68,0038";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
66941000;1;01/10/2023;;1;1;"56,1765";"38,7003";"45,2218";26;21;2;2;2;"0,0";0;"50,0629";"49,5212";"48,9818";"48,1773";"47,1129";"45,7958";"45,2732";"44,7529";"44,2351";"43,7198";"42,9512";"42,6963";"41,9351";"41,4307";"40,9287";"40,1803";"39,6845";"39,6845";"39,1912";"39,1912";"38,7003";"38,9455";"39,6845";"44,7529";"51,7022";"56,1765";"51,7022";"50,3346";"49,7917";"49,2512";"55,3262";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
66941000;1;01/09/2023;;1;1;"110,5673";"44,4937";"57,7143";9;25;1;1;1;"0,0";0;"55,6091";"54,2006";"52,2533";"49,5212";"48,1773";"47,3781";"48,1773";"55,3262";"110,5673";"95,7017";"84,7048";"71,4136";"63,4625";"61,0923";"68,0038";"66,4761";"58,1806";"53,9207";"51,7022";"49,2512";"48,7131";"47,6439";"46,3208";"45,5342";"44,4937";"49,2512";"52,5297";"51,1534";"50,607";"50,0629";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
66941000;1;01/08/2023;;1;1;"82,7031";"46,8482";"56,3907";22;9;1;1;1;"0,0";0;"50,8799";"50,3346";"49,7917";"49,5212";"48,9818";"48,7131";"48,1773";"47,3781";"46,8482";"48,7131";"48,4449";"47,9103";"47,6439";"47,6439";"49,5212";"48,9818";"49,5212";"51,1534";"64,3607";"72,0407";"68,9271";"82,7031";"73,3016";"69,8554";"67,6971";"65,2639";"61,9769";"64,6612";"60,7986";"59,0481";"57,3182";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
66941000;1;01/07/2023;;1;1;"68,0038";"50,8799";"60,3947";2;31;1;1;1;"0,0";0;"67,391";"68,0038";"65,8689";"67,0855";"65,8689";"64,6612";"64,9623";"64,0608";"62,8666";"61,6815";"61,6815";"60,2128";"62,5695";"61,0923";"60,2128";"61,9769";"61,3866";"60,7986";"60,2128";"59,9208";"59,3384";"58,4692";"57,8926";"57,0319";"56,1765";"55,8925";"55,0439";"54,4812";"53,3626";"51,1534";"50,8799";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
66941000;1;01/06/2023;;1;1;"205,9214";"60,5054";"105,3729";13;11;1;1;1;"0,0";0;"159,3074";"136,6771";"127,4645";"112,4388";"105,3946";"101,0403";"94,2977";"85,3763";"69,236";"63,7614";"60,5054";"64,6612";"205,9214";"182,6174";"173,5919";"163,8633";"146,5633";"130,6396";"122,3721";"109,4505";"92,2074";"81,3794";"75,8496";"74,5712";"72,6701";"71,4136";"72,0407";"70,477";"68,311";"67,0855";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
66941000;1;01/05/2023;;1;1;"153,7326";"68,0038";"95,6228";31;24;1;1;1;"0,0";0;"122,7609";"121,9838";"125,8888";"111,6887";"99,9633";"98,5345";"92,5545";"87,7431";"84,0354";"77,7835";"101,4004";"96,0539";"84,0354";"85,0403";"81,0498";"84,3698";"81,3794";"81,0498";"73,3016";"72,0407";"70,7887";"69,5454";"68,6188";"68,0038";"68,311";"135,8658";"126,6757";"118,1284";"105,7608";"116,2193";"153,7326";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
66941000;1;01/04/2023;;1;1;"216,9899";"89,7925";"136,0635";27;6;1;1;1;"0,0";0;"122,7609";"134,6525";"135,0564";"118,8955";"104,2991";"89,7925";"89,7925";"197,4114";"169,1438";"135,8658";"112,0635";"108,7085";"110,5673";"123,1501";"140,352";"136,2712";"127,8597";"139,5319";"115,0799";"168,7013";"137,8977";"124,7121";"109,0793";"117,3633";"121,2088";"197,4114";"216,9899";"208,7879";"134,249";"134,249";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
66941000;1;01/03/2023;;1;1;"355,3485";"104,2991";"197,1787";19;28;1;1;1;"0,0";0;"151,1866";"167,3766";"183,5293";"183,9859";"166,9359";"150,7639";"147,3996";"127,0699";"131,4383";"170,4737";"187,1941";"232,7478";"255,0832";"255,0832";"290,0024";"308,6389";"324,876";"326,0072";"355,3485";"293,8038";"240,2759";"185,8166";"167,3766";"157,1538";"149,92";"137,8977";"118,1284";"104,2991";"141,1739";"160,3779";"141,1739";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66941000;1;01/02/2023;;1;1;"286,2197";"113,5677";"185,1968";12;23;1;1;1;"0,0";0;"140,352";"195,0714";"159,9442";"248,9158";"219,9129";"170,4737";"126,282";"221,8697";"192,7419";"186,2753";"278,7101";"286,2197";"239,2669";"181,2527";"158,4446";"139,5319";"220,8905";"172,253";"156,7245";"149,078";"154,5851";"126,6757";"113,5677";"182,6174";"206,3981";"209,2671";"181,2527";"166,9359";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0
66941000;1;01/01/2023;;1;1;"232,2491";"55,8925";"126,886";23;3;1;1;1;"0,0";0;"59,9208";"58,7584";"55,8925";"138,7139";"164,3009";"197,8806";"196,4741";"146,1458";"134,6525";"127,4645";"113,945";"139,9417";"137,4904";"122,7609";"112,0635";"108,3383";"97,8232";"90,8243";"91,5148";"92,2074";"102,4836";"93,948";"232,2491";"202,596";"212,6329";"153,3071";"155,012";"127,4645";"98,5345";"87,4034";"80,7208";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
66941000;1;01/12/2022;;1;1;"155,012";"43,9772";"65,4163";20;3;1;1;1;"0,0";0;"44,7529";"44,4937";"43,9772";"46,5842";"57,0319";"82,0402";"69,5454";"63,1643";"55,6091";"52,5297";"50,607";"49,5212";"50,0629";"48,9818";"51,9774";"56,1765";"71,1008";"89,1073";"117,3633";"155,012";"109,8223";"82,7031";"60,2128";"54,2006";"50,8799";"65,5661";"61,6815";"61,0923";"60,5054";"61,6815";"59,9208";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66941000;1;01/11/2022;;1;1;"99,6053";"44,7529";"58,7264";15;30;1;1;1;"0,0";0;"61,9769";"59,3384";"57,3182";"55,0439";"54,4812";"54,2006";"53,0844";"52,2533";"51,7022";"51,1534";"51,7022";"56,1765";"50,3346";"68,311";"99,6053";"90,8243";"85,0403";"69,236";"66,7805";"61,9769";"60,5054";"57,3182";"55,8925";"54,4812";"50,8799";"48,9818";"46,5842";"46,3208";"45,5342";"44,7529";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
66941000;1;01/10/2022;;1;1;"194,1384";"59,6293";"97,5093";1;19;1;1;1;"0,0";0;"194,1384";"147,8185";"139,5319";"138,3055";"130,6396";"129,8429";"131,8384";"122,7609";"83,0354";"69,8554";"103,2083";"93,948";"84,3698";"72,6701";"94,2977";"82,7031";"71,1008";"63,4625";"59,6293";"74,253";"112,4388";"119,2798";"106,8624";"97,1139";"63,7614";"79,0835";"87,4034";"78,1077";"66,7805";"62,8666";"61,6815";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
66941000;1;01/09/2022;;1;1;"350,6835";"43,2068";"89,4938";28;6;1;1;1;"0,0";0;"45,7958";"45,2732";"44,7529";"44,2351";"43,7198";"43,2068";"46,3208";"46,8482";"49,5212";"48,9818";"48,4449";"47,9103";"47,6439";"47,3781";"47,3781";"48,9818";"57,8926";"52,2533";"48,1773";"77,7835";"104,2991";"112,8146";"97,4683";"83,7016";"69,8554";"108,7085";"206,3981";"350,6835";"308,6389";"259,7457";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
66941000;1;01/08/2022;;1;1;"224,3249";"33,9295";"68,5975";20;4;1;1;1;"0,0";0;"35,0985";"34,8635";"34,3952";"33,9295";"34,629";"36,0452";"35,8076";"37,2427";"53,0844";"71,1008";"75,2093";"65,5661";"57,8926";"51,4275";"45,2732";"48,1773";"62,2729";"130,6396";"200,2331";"224,3249";"155,4395";"118,1284";"70,1659";"64,3607";"57,3182";"54,7623";"51,7022";"47,1129";"48,7131";"47,1129";"44,4937";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
66941000;1;01/07/2022;;1;1;"43,463";"33,9295";"38,3442";1;27;1;1;1;"0,0";0;"43,463";"42,9512";"42,6963";"42,1882";"41,6826";"42,1882";"41,6826";"41,1794";"41,1794";"40,6786";"40,1803";"39,6845";"39,1912";"38,7003";"38,212";"37,7261";"37,4841";"37,2427";"36,7618";"37,0019";"35,8076";"35,3343";"35,3343";"34,8635";"34,8635";"34,3952";"33,9295";"33,9295";"35,5706";"36,7618";"35,8076";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
66941000;1;01/06/2022;;1;1;"92,9021";"45,2732";"56,6158";20;30;1;1;1;"0,0";0;"49,2512";"51,7022";"51,1534";"50,607";"50,0629";"49,7917";"49,7917";"50,0629";"53,0844";"61,9769";"66,4761";"73,6182";"69,236";"56,1765";"50,607";"48,7131";"48,1773";"65,5661";"89,4496";"92,9021";"75,8496";"59,6293";"53,9207";"50,607";"48,4449";"47,6439";"46,3208";"46,058";"46,3208";"45,2732";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
66941000;1;01/05/2022;;1;1;"79,4099";"46,058";"53,6523";17;30;1;1;1;"0,0";0;"53,6413";"52,5297";"51,7022";"51,9774";"53,0844";"52,8068";"51,9774";"52,2533";"51,9774";"50,0629";"50,8799";"50,3346";"50,607";"53,0844";"54,7623";"64,9623";"79,4099";"73,6182";"61,0923";"60,5054";"52,5297";"51,4275";"51,1534";"50,3346";"50,3346";"49,7917";"48,7131";"48,1773";"47,1129";"46,058";"46,3208";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66941000;1;01/04/2022;;1;1;"138,7139";"53,9207";"79,0994";15;23;1;1;1;"0,0";0;"116,6001";"131,4383";"116,6001";"101,0403";"81,3794";"75,8496";"78,1077";"72,9856";"61,0923";"60,2128";"56,461";"55,3262";"58,7584";"103,5714";"138,7139";"113,5677";"91,5148";"77,4598";"63,7614";"60,2128";"57,3182";"59,0481";"53,9207";"61,6815";"96,7601";"80,7208";"70,7887";"62,8666";"59,0481";"56,1765";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
66941000;1;01/03/2022;;1;1;"126,6757";"51,4275";"75,0072";14;11;1;1;1;"0,0";0;"62,2729";"62,8666";"72,3551";"66,4761";"56,7462";"56,1765";"61,9769";"59,0481";"55,6091";"52,8068";"51,4275";"88,0834";"77,4598";"126,6757";"107,9685";"82,7031";"66,4761";"59,3384";"60,5054";"65,2639";"83,3682";"69,236";"67,391";"65,2639";"73,3016";"104,6638";"105,3946";"88,4242";"106,1275";"81,0498";"88,7655";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66941000;1;01/02/2022;;1;1;"135,4609";"48,7131";"76,3323";2;24;2;2;2;"0,0";0;"89,4496";"135,4609";"134,249";"117,7456";"106,8624";"94,9986";"105,3946";"107,9685";"103,935";"81,3794";"67,391";"60,5054";"62,2729";"60,5054";"65,2639";"58,7584";"57,0319";"56,461";"60,2128";"62,5695";"54,7623";"56,1765";"50,607";"48,7131";"63,7614";"59,6293";"55,6091";"59,6293";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;0;0;0
