Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MedidorVazao: 1 = ADCP (outros modelos), 2 = ADCP RiverPro de 1200 kHz, 3 = ADCP RiverPro de 600 kHz, 4 = ADCP RiverRay de 600 kHz, 5 = ADCP StreamPro, 6 = ADCP Workhorse Rio Grande de 1200 kHz, 7 = ADCP Workhorse Rio Grande de 300 kHz,
8 = ADCP Workhorse Rio Grande de 600 kHz, 9 = Barco em movimento (moving boat ou smoot), 10 = FlowTracker;11 = Flutuador, 12 = MF Pro;13 = Micromolinete, 14 = Molinete de eixo horizontal, 15 = Molinete de eixo vertical,
16 = RiverSurveyor = M9, 17 = RiverSurveyor = S5, 18 = Volumétrico, 19 = Outros, 20 = Não especificado

Restrições da consulta:
Código da Estação:66260002


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;Cota;Vazao;AreaMolhada;Largura;VelMedia;Profundidade;tecnico;medidorvazao
66260002;2;02/11/1981;01/01/1900 07:00;69;"141,0";"199,0";"411,0";"154,0";"0,485";"2,67";;
66260002;1;02/11/1981;01/01/1900 07:00;69;"141,0";"199,0";"411,0";"154,0";"0,485";"2,67";;
66260002;2;30/09/1981;01/01/1900 07:00;68;"109,0";"138,0";"375,0";"152,0";"0,368";"2,46";;
66260002;1;30/09/1981;01/01/1900 07:00;68;"109,0";"138,0";"375,0";"152,0";"0,368";"2,46";;
66260002;2;03/07/1981;01/01/1900 07:00;67;"125,0";"156,0";"392,0";"152,0";"0,397";"2,56";;
66260002;1;03/07/1981;01/01/1900 07:00;67;"125,0";"156,0";"392,0";"152,0";"0,397";"2,56";;
66260002;2;07/05/1981;01/01/1900 07:00;66;"237,0";"360,0";"577,0";"157,0";"0,623";"3,67";;
66260002;1;07/05/1981;01/01/1900 07:00;66;"237,0";"360,0";"577,0";"157,0";"0,623";"3,67";;
66260002;2;16/04/1981;01/01/1900 07:00;65;"293,0";"490,0";"656,0";"160,0";"0,747";"4,11";;
66260002;1;16/04/1981;01/01/1900 07:00;65;"293,0";"490,0";"656,0";"160,0";"0,747";"4,11";;
