Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoSecao: 1 = Régua, 2 = Medição

Restrições da consulta:
Código da Estação:66810000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumLevantamento;TipoSecao;NumVerticais;DistanciaPIPF;EixoXDistMaxima;EixoXDistMinima;EixoYCotaMaxima;EixoYCotaMinima;ElmGeomPassoCota;Observacoes;Vertical
66810000;1;14/07/2019;;;2;25;"313,67";;;;;"10,0";;"38,28,-47|122,82,132|108,25,300|93,421|68,685|62,693|50,743|153,48,-158|363,67,765|360,47,685|357,47,398|347,69,-200|333,03,-917|318,72,-995|303,8,-894|288,14,-824|273,63,-751|258,52,-585|242,82,-376|228,93,-312|212,7,-270|198,73,-250|182,84,-240|168,63,-159|"
66810000;1;14/07/2019;;;2;25;"313,67";"0,0";"0,0";"0,0";"0,0";"10,0";;"0,743|363,67,765|360,47,685|357,47,398|347,69,-200|333,03,-917|318,72,-995|303,8,-894|288,14,-824|273,63,-751|258,52,-585|242,82,-376|228,93,-312|212,7,-270|198,73,-250|182,84,-240|168,63,-159|153,48,-158|138,28,-47|122,82,132|108,25,300|93,421|68,685|62,693|"
66810000;2;14/07/2019;01/01/1900 00:00;0;2;25;"363,67";"367,67";"4,0";"765,0";"-995,0";"1,0";"Aplicado deslocamento horizontal de 4 m,";"67,67,765|364,47,685|361,47,398|351,69,-200|337,03,-917|322,72,-995|307,8,-894|292,14,-824|277,63,-751|262,52,-585|246,82,-376|232,93,-312|216,7,-270|202,73,-250|186,84,-240|172,63,-159|157,48,-158|142,28,-47|126,82,132|112,25,300|97,421|72,685|66,693|54,743|4,685|"
66810000;2;17/10/2017;01/01/1900 00:00;0;2;32;"431,32";"383,32";"-48,0";"764,0";"-848,0";"1,0";"Aplicado deslocamento horizontal de -48 m,";"48,687|9,5,758|14,5,710|17,5,677|22,5,624|27,5,565|41,463|42,5,533|49,5,522|61,27,397|81,86,401|94,51,359|113,63,256|134,76,71|155,02,-132|173,57,-146|194,27,-206|213,13,-269|234,1,-351|253,02,-511|274,48,-590|293,99,-717|313,64,-785|334,41,-848|354,09,-3|368,52,463|370,52,522|371,02,571|374,02,664|378,32,764|383,32,728|2,744|"
66810000;1;17/10/2017;;;2;32;"376,32";"0,0";"0,0";"0,0";"0,0";"10,0";;",687|50,744|57,5,758|62,5,710|65,5,677|70,5,624|75,5,565|89,463|90,5,533|97,5,522|109,27,397|129,86,401|142,51,359|161,63,256|182,76,71|203,02,-132|221,57,-146|242,27,-206|261,13,-269|282,1,-351|301,02,-511|322,48,-590|341,99,-717|361,64,-785|382,41,-848|402,09,-3|416,52,463|418,52,522|419,02,571|422,02,664|426,32,764|431,32,728|"
66810000;1;17/10/2017;;;2;32;"376,32";;;;;"10,0";;",687|50,744|57,5,758|62,5,710|65,5,677|70,5,624|75,5,565|89,463|90,5,533|97,5,522|109,27,397|129,86,401|142,51,359|161,63,256|182,76,71|203,02,-132|221,57,-146|242,27,-206|261,13,-269|282,1,-351|301,02,-511|322,48,-590|341,99,-717|361,64,-785|382,41,-848|402,09,-3|416,52,463|418,52,522|419,02,571|422,02,664|426,32,764|431,32,728|"
66810000;1;17/11/2016;;;2;27;"335,79";;;;;"10,0";;"1,7,745|57,2,380|21,7,629|116,52,-106|102,15,-45|130,93,-131|0,783|31,7,553|42,2,440|71,78,258|86,82,98|331,79,672|297,4,-962|335,79,761|176,68,-296|312,78,-357|191,2,-349|325,99,440|322,99,227|237,4,-689|267,19,-913|282,87,-990|251,28,-812|221,13,-620|161,55,-321|206,88,-550|326,79,519|"
66810000;2;17/11/2016;01/01/1900 00:00;0;2;27;"335,79";"370,79";"35,0";"783,0";"-990,0";"1,0";"Aplicado deslocamento horizontal de 35 m,";"5,783|46,7,745|56,7,629|66,7,553|77,2,440|92,2,380|106,78,258|121,82,98|137,15,-45|151,52,-106|165,93,-131|196,55,-321|211,68,-296|226,2,-349|241,88,-550|256,13,-620|272,4,-689|286,28,-812|302,19,-913|317,87,-990|332,4,-962|347,78,-357|357,99,227|360,99,440|361,79,519|366,79,672|370,79,761|"
66810000;2;29/08/2015;01/01/1900 00:00;0;2;25;"320,88";"369,88";"49,0";"786,0";"-999,0";"1,0";"Aplicado deslocamento horizontal de 49 m,";"9,786|61,749|69,5,655|89,5,411|104,5,331|119,86,184|134,87,-1|150,2,-89|164,23,-129|180,63,-152|194,75,-149|210,43,-220|224,68,-332|239,26,-527|254,45,-591|269,78,-628|283,96,-711|299,74,-828|314,9,-954|330,04,-999|344,64,-533|358,88,236|364,88,655|366,88,704|369,88,764|"
66810000;1;29/08/2015;;;2;25;"320,88";;;;;"10,0";;",786|12,749|20,5,655|40,5,411|55,5,331|70,86,184|85,87,-1|101,2,-89|115,23,-129|131,63,-152|145,75,-149|161,43,-220|175,68,-332|190,26,-527|205,45,-591|220,78,-628|234,96,-711|250,74,-828|265,9,-954|281,04,-999|295,64,-533|309,88,236|315,88,655|317,88,704|320,88,764|"
66810000;1;13/11/2014;;;2;23;"356,47";;;;;"10,0";;",786|10,627|41,539|61,348|79,56,369|96,94,195|115,39,-29|133,24,-88|150,99,-169|168,9,-152|187,78,-209|205,36,-296|223,58,-557|241,94,-635|260,15,-742|277,85,-859|295,81,-974|314,63,-972|331,57,-420|344,97,486|346,97,539|350,97,634|356,47,762|"
66810000;2;13/11/2014;;;2;23;"356,47";"373,0921";"16,6221";"786,0";"-974,0";"10,0";;"6,6221,786|26,6221,727|57,6221,539|77,6221,348|96,1821,369|113,562,195|132,012,-29|149,862,-88|167,612,-169|185,522,-152|204,402,-209|221,982,-296|240,202,-557|258,562,-635|276,772,-742|294,472,-859|312,432,-974|331,252,-972|348,192,-420|361,592,486|363,592,539|367,592,634|373,092,762|"
66810000;2;11/11/2013;;;2;23;"325,02";"370,169";"45,149";"785,0";"-1055,0";"10,0";;"5,149,774|50,649,785|61,649,747|92,649,429|127,649,91|141,869,-79|160,309,-153|180,669,-234|201,749,-299|220,459,-397|240,569,-505|261,149,-685|280,129,-862|301,579,-999|320,209,-1055|341,459,-597|352,169,-297|358,169,429|359,169,431|359,969,475|360,669,545|364,169,600|370,169,760|"
66810000;1;11/11/2013;;;2;23;"319,52";;;;;"10,0";;",774|5,5,785|16,5,747|47,5,429|82,5,91|96,72,-79|115,16,-153|135,52,-234|156,6,-299|175,31,-397|195,42,-505|216,-685|234,98,-862|256,43,-999|275,06,-1055|296,31,-597|307,02,-297|313,02,429|314,02,431|314,82,475|315,52,545|319,02,600|325,02,760|"
66810000;1;20/09/2012;;;2;27;"10,2";;;;;"10,0";;",776|8,4,786|17,1,744|41,1,497|56,94,274|73,09,123|89,54,-26|104,12,-82|120,15,-136|133,86,-196|150,01,-274|164,25,-325|181,5,-426|196,44,-538|213,09,-681|226,27,-814|243,8,-941|259,68,-1007|275,53,-1042|289,99,-911|304,78,7|311,94,396|314,94,497|315,64,544|318,64,628|319,14,661|325,1,762|"
66810000;2;20/09/2012;;;2;27;"325,1";"374,284";"49,184";"786,0";"-1042,0";"10,0";;"08,864,-1007|324,714,-1042|339,174,-911|353,964,7|361,124,396|364,124,497|364,824,544|367,824,628|368,324,661|374,284,762|49,184,776|57,584,786|66,284,744|90,284,497|106,124,274|122,274,123|138,724,-26|153,304,-82|169,334,-136|183,044,-196|199,194,-274|213,434,-325|230,684,-426|245,624,-538|262,274,-681|275,454,-814|292,984,-941|"
66810000;2;26/10/2011;;;2;29;"358,83";"372,6922";"13,8622";"790,0";"-1075,0";"10,0";;"3,8622,784|19,8622,790|31,8622,757|39,8622,678|47,8622,602|55,8622,511|59,6622,444|93,9322,276|109,152,155|126,932,-1|138,342,-36|153,912,-78|167,792,-196|185,422,-263|195,302,-307|209,822,-352|221,882,-444|238,612,-483|254,762,-617|260,492,-644|273,942,-813|292,232,-979|307,332,-1036|320,292,-1075|337,322,-458|350,832,-264|362,492,522|366,492,669|372,692,767|"
66810000;1;26/10/2011;;;2;29;"352,83";;;;;"10,0";;",784|6,790|18,757|26,678|34,602|42,511|45,8,444|80,07,276|95,29,155|113,07,-1|124,48,-36|140,05,-78|153,93,-196|171,56,-263|181,44,-307|195,96,-352|208,02,-444|224,75,-483|240,9,-617|246,63,444|260,08,-813|278,37,-979|293,47,-1036|306,43,-1075|323,46,-458|336,97,-264|348,63,522|352,63,669|358,83,767|"
66810000;1;20/07/2010;;;2;29;"323,0";;;;;"10,0";;",774|4,780|8,784|12,795|16,778|20,735|24,699|25,5,667|36,46,293|55,56,28|69,42,-38|79,74,-78|96,1,-134|110,01,-157|125,73,-185|141,7,-238|156,59,-275|175,56,-430|190,17,-523|213,1,-692|224,68,-763|238,4,-872|259,14,-986|285,49,-963|302,83,-4|315,667|317,706|320,750|323,722|"
66810000;2;20/07/2010;;;2;29;"323,0";"374,4705";"51,4705";"795,0";"-986,0";"10,0";;"1,4705,774|55,4705,780|59,4705,784|63,4705,795|67,4705,778|71,4705,735|75,4705,699|76,9705,667|87,9305,293|107,031,28|120,891,-38|131,21,-78|147,57,-134|161,48,-157|177,201,-185|193,171,-238|208,061,-275|227,031,-430|241,641,-523|264,57,-692|276,151,-763|289,871,-872|310,611,-986|336,961,-963|354,301,-4|366,47,667|368,47,706|371,47,750|374,47,722|"
66810000;2;26/11/2009;;;2;32;"360,12";"378,9868";"18,8668";"798,0";"-1078,0";"10,0";;"8,8668,777|22,8668,782|30,8668,798|34,8668,777|38,8668,736|42,8668,700|44,5668,668|72,9568,304|85,3868,277|97,3868,202|109,367,100|122,357,-22|129,987,-46|140,377,-83|153,947,-136|169,307,-188|183,427,-222|197,357,-246|206,927,-323|222,217,-406|240,497,-499|259,217,-642|273,337,-775|287,297,-893|304,757,-1001|320,097,-1078|338,817,-862|350,217,-234|370,587,668|372,587,718|375,887,759|378,987,725|"
66810000;1;26/11/2009;;;2;32;"360,12";"400,0";"0,0";"900,0";"-1200,0";"10,0";;",777|4,782|12,798|16,777|20,736|24,700|25,7,668|54,09,304|66,52,277|78,52,202|90,5,100|103,49,-22|111,12,-46|121,51,-83|135,08,-136|150,44,-188|164,56,-222|178,49,-246|188,06,-323|203,35,-406|221,63,-499|240,35,-642|254,47,-775|268,43,-893|285,89,-1001|301,23,-1078|319,95,-862|331,35,-234|351,72,668|353,72,718|357,02,759|360,12,725|"
