Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MedidorVazao: 1 = ADCP (outros modelos), 2 = ADCP RiverPro de 1200 kHz, 3 = ADCP RiverPro de 600 kHz, 4 = ADCP RiverRay de 600 kHz, 5 = ADCP StreamPro, 6 = ADCP Workhorse Rio Grande de 1200 kHz, 7 = ADCP Workhorse Rio Grande de 300 kHz,
8 = ADCP Workhorse Rio Grande de 600 kHz, 9 = Barco em movimento (moving boat ou smoot), 10 = FlowTracker;11 = Flutuador, 12 = MF Pro;13 = Micromolinete, 14 = Molinete de eixo horizontal, 15 = Molinete de eixo vertical,
16 = RiverSurveyor = M9, 17 = RiverSurveyor = S5, 18 = Volumétrico, 19 = Outros, 20 = Não especificado

Restrições da consulta:
Código da Estação:66810000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;Cota;Vazao;AreaMolhada;Largura;VelMedia;Profundidade;tecnico;medidorvazao
66810000;1;29/06/2023;01/01/1900 10:59;83;"726,0";"2144,41";"2649,009";"288,746";"0,809";"9,174";Rafael / Sebastiao;16
66810000;1;26/11/2022;01/01/1900 12:00;83;"349,0";"700,757";"1640,566";"268,931";"0,427";"6,1";Rafael/Sebastião;16
66810000;1;22/04/2022;01/01/1900 11:59;81;"573,0";"1361,0";"2633,0";"403,47";"0,517";"6,52";Robson/Watson;16
66810000;2;25/08/2021;01/01/1900 15:10;80;"346,0";"650,0";"1820,0";"262,0";"0,358";"6,93";Watson/Victor;4
66810000;1;25/08/2021;01/01/1900 15:10;80;"346,0";"650,0";"1815,5";"261,9";"0,358";"6,93";Watson/Victor;4
66810000;2;21/10/2019;01/01/1900 16:09;79;"480,0";"1010,0";"2360,0";"367,0";"0,429";"6,43";Watson/ Robson/ Antonio;16
66810000;1;21/10/2019;01/01/1900 16:09;79;"480,0";"1013,383";"2362,815";"367,159";"0,429";"6,435";Watson/ Robson/ Antonio;16
66810000;2;14/07/2019;01/01/1900 11:54;78;"686,0";"1950,0";"2810,0";"293,0";"0,695";"9,59";Watson/Leandro;16
66810000;1;14/07/2019;01/01/1900 11:54;78;"686,0";"1951,107";"2808,435";"292,683";"0,695";"9,59";Watson/Leandro;16
66810000;2;19/04/2019;01/01/1900 13:40;77;"624,0";"1690,0";"2760,0";"305,0";"0,612";"9,05";Watson/Aluisio;16
66810000;1;19/04/2019;01/01/1900 13:40;77;"624,0";"1687,065";"2757,669";"304,661";"0,612";"9,051";Watson/Aluisio;16
66810000;2;27/01/2019;01/01/1900 09:46;76;"537,0";"1320,0";"2430,0";"304,0";"0,543";"8,0";Leonardo/Rafael;16
66810000;1;27/01/2019;01/01/1900 09:46;76;"537,0";"1318,401";"2428,023";"303,521";"0,543";"8,0";Leonardo/Rafael;16
66810000;2;13/07/2018;01/01/1900 13:40;75;"736,0";"2380,0";"3120,0";"351,0";"0,763";"8,91";Watson/Raimundo;16
66810000;1;13/07/2018;01/01/1900 13:40;75;"736,0";"2381,032";"3122,495";"350,517";"0,763";"8,91";Watson/Raimundo;16
66810000;2;29/04/2018;01/01/1900 13:27;74;"778,0";"2880,0";"3220,0";"358,0";"0,894";"9,0";Watson/Raimundo;16
66810000;1;29/04/2018;01/01/1900 13:27;74;"778,0";"2879,727";"3222,512";"357,912";"0,894";"9,0";Watson/Raimundo;16
66810000;2;03/02/2018;01/01/1900 11:59;73;"610,0";"1450,0";"2600,0";"302,0";"0,559";"8,6";Watson/Raimundo;16
66810000;1;03/02/2018;01/01/1900 11:59;73;"610,0";"1451,757";"2595,524";"301,673";"0,559";"8,6";Watson/Raimundo;16
66810000;2;17/10/2017;01/01/1900 13:20;72;"523,0";"1160,0";"2350,0";"341,0";"0,49";"6,9";;
66810000;1;17/10/2017;01/01/1900 13:20;72;"523,0";"1157,286";"2352,399";"341,101";"0,49";"6,9";;0
66810000;2;08/07/2017;01/01/1900 09:43;71;"726,0";"2440,0";"3090,0";"351,0";"0,789";"8,8";Watson/Adolfo;16
66810000;1;08/07/2017;01/01/1900 09:43;71;"726,0";"2438,714";"3089,395";"351,02";"0,789";"8,8";Watson/Adolfo;16
66810000;2;18/04/2017;01/01/1900 12:06;70;"654,0";"2210,0";"2810,0";"343,0";"0,787";"8,21";;
66810000;1;18/04/2017;01/01/1900 12:06;70;"654,0";"2214,01";"2813,0";"342,7";"0,676";"8,21";null;0
66810000;2;17/11/2016;01/01/1900 12:53;69;"440,0";"928,0";"2150,0";"279,0";"0,431";"7,73";;
66810000;1;17/11/2016;01/01/1900 12:53;69;"440,0";"927,692";"2152,823";"278,649";"0,431";"7,73";;
66810000;2;15/08/2016;01/01/1900 12:49;68;"614,0";"1540,0";"2660,0";"287,0";"0,58";"9,26";;
66810000;1;15/08/2016;01/01/1900 12:49;68;"614,0";"1540,623";"2656,168";"286,97";"0,58";"9,26";;
66810000;2;28/04/2016;01/01/1900 12:07;67;"679,0";"1990,0";"2890,0";"324,0";"0,691";"8,91";;
66810000;1;28/04/2016;01/01/1900 12:07;67;"679,0";"1993,313";"2886,299";"323,958";"0,691";"8,91";;
66810000;2;28/11/2015;01/01/1900 15:05;66;"478,0";"1010,0";"2240,0";"289,0";"0,451";"7,72";;
66810000;1;28/11/2015;01/01/1900 15:05;66;"478,0";"1008,514";"2235,166";"289,384";"0,451";"7,72";;
66810000;2;29/08/2015;01/01/1900 12:56;65;"655,0";"1630,0";"2740,0";"306,0";"0,594";"8,96";Watson / Waister;16
66810000;1;29/08/2015;01/01/1900 12:56;65;"655,0";"1630,398";"2743,569";"306,306";"0,594";"8,96";Watson / Waister;16
66810000;2;24/04/2015;01/01/1900 12:33;64;"677,0";"1950,0";"2920,0";"352,0";"0,668";"8,32";;
66810000;1;24/04/2015;01/01/1900 12:33;64;"677,0";"1954,0";"2924,0";"351,63";"0,668";"8,32";;
66810000;2;13/11/2014;01/01/1900 12:56;63;"539,0";"1143,07";"2465,829";"304,522";"0,464";"8,1";;0
66810000;1;13/11/2014;01/01/1900 12:56;63;"539,0";"1143,07";"2465,829";"304,522";"0,464";"8,1";;
66810000;2;22/08/2014;01/01/1900 12:40;62;"709,0";"2219,395";"3018,675";"350,432";"0,735";"8,61";;0
66810000;1;22/08/2014;01/01/1900 12:40;62;"709,0";"2219,395";"3018,675";"350,432";"0,735";"8,61";;
66810000;2;16/04/2014;01/01/1900 12:14;61;"704,0";"2376,308";"3095,7";"337,0";"0,768";"9,19";;0
66810000;1;16/04/2014;01/01/1900 12:14;61;"704,0";"2376,308";"3095,7";"337,0";"0,768";"9,19";;
