Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido

Restrições da consulta:
Código da Estação:66460000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;DataLiq;HoraLiq;NumMedicaoLiq;Cota;Vazao;AreaMolhada;Largura;VelMedia;ConcentracaoMatSuspensao;CotaDeMedicao;TemperaturaDaAgua;ConcentracaoDaAmostraExtra;CondutividadeEletrica;Observacoes
66460000;1;18/09/2023;01/01/1900 13:40;93;18/09/2023;01/01/1900 12:00;93;28;"111,929";"135,64";"68,42";"0,825";"77,4";28;"28,56";;"794,5";
66460000;1;31/05/2023;01/01/1900 11:50;92;31/05/2023;01/01/1900 11:00;92;102;"192,241";"197,3";"70,46";"0,985";"107,8";102;"24,44";;"24,5";
66460000;1;22/08/2022;01/01/1900 11:40;91;22/08/2022;01/01/1900 11:00;91;31;"113,0";"134,7";"66,3";"0,841";"34,7";31;"23,38";;"893,1";
66460000;1;08/02/2021;01/01/1900 19:00;88;08/02/2021;01/01/1900 17:57;88;146;"254,0";"280,3";"71,0";"0,905";"153,4";146;"30,5";;"773,0";
66460000;1;13/12/2019;01/01/1900 11:05;87;13/12/2019;01/01/1900 06:44;87;162;"277,52";"263,68";"69,92";"0,968";"277,9";164;"28,5";;"30,7";
66460000;1;24/06/2019;01/01/1900 12:35;85;24/06/2019;01/01/1900 09:50;85;91;"191,302";"197,19";"66,96";"0,951";"118,3";91;"23,88";;"58,5";
66460000;1;26/03/2019;01/01/1900 13:45;84;26/03/2019;01/01/1900 15:46;84;221;"350,084";"352,82";"72,53";"0,992";"161,4";224;"29,31";;"94,8";
66460000;1;18/06/2018;01/01/1900 12:45;81;18/06/2018;01/01/1900 09:40;81;97;"195,0";"197,8";"68,4";"0,986";"70,7";97;"22,5";;"90,1";
66460000;1;15/03/2018;01/01/1900 14:30;80;15/03/2018;01/01/1900 13:06;80;302;"444,858";"496,4";"88,1";"1,04";"254,4";302;"29,2";;"48,1";
66460000;1;29/08/2017;01/01/1900 11:20;78;29/08/2017;01/01/1900 10:15;78;50;"139,797";"155,23";"68,44";"0,901";"1261,0";50;"27,4";;"37,3";
