Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido

Restrições da consulta:
Código da Estação:66945000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;DataLiq;HoraLiq;NumMedicaoLiq;Cota;Vazao;AreaMolhada;Largura;VelMedia;ConcentracaoMatSuspensao;CotaDeMedicao;TemperaturaDaAgua;ConcentracaoDaAmostraExtra;CondutividadeEletrica;Observacoes
66945000;1;28/03/2024;01/01/1900 12:30;100;28/03/2024;01/01/1900 10:52;100;230;"74,215";"111,339";"71,995";"0,667";"91,9";230;"28,2";;"68,44";
66945000;1;22/09/2023;01/01/1900 10:14;98;22/09/2023;01/01/1900 10:14;98;205;"58,701";"89,661";"66,241";"0,655";"34,5";205;"28,9";;"570,6";
66945000;1;24/05/2023;01/01/1900 09:05;97;24/05/2023;01/01/1900 08:33;97;257;"84,1";"138,0";"63,18";"0,608";"60,8";257;"21,6";;"107,8";
66945000;1;20/06/2022;01/01/1900 09:30;95;20/06/2022;01/01/1900 08:42;95;302;"116,27";"160,1";"73,71";"0,726";"96,9";302;"20,1";;"105,2";
66945000;1;25/01/2021;01/01/1900 12:40;91;25/01/2021;01/01/1900 11:15;91;632;"316,575";"390,0";"74,4";"0,812";"82,1";632;"27,2";;"58,4";
66945000;1;19/02/2020;01/01/1900 10:40;90;19/02/2020;01/01/1900 09:20;90;303;"106,171";"146,59";"74,52";"0,744";"0,0";303;"30,44";;"126,7";"Presença de areia, Não foi possível obter o resultado devido a erro operacional durante o ensaio,"
66945000;1;11/11/2019;01/01/1900 09:05;89;11/11/2019;01/01/1900 08:15;89;240;"61,373";"90,32";"70,52";"0,68";"85,9";240;"27,1";;"76,3";
66945000;1;18/05/2019;01/01/1900 09:35;87;18/05/2019;01/01/1900 08:29;87;304;"98,744";"133,69";"73,83";"0,726";"100,8";304;"21,9";;"113,0";"Presença da fração areia no sedimento retido no processo de filtração,"
66945000;1;18/02/2019;01/01/1900 11:10;86;18/02/2019;01/01/1900 09:49;86;490;"203,0";"282,0";"83,14";"0,726";"191,8";490;"26,84";;"42,5";
66945000;1;08/11/2018;01/01/1900 10:50;84;08/11/2018;01/01/1900 09:41;84;379;"146,159";"189,03";"74,3";"0,773";"155,4";381;"27,2";;"78,0";"Não recebemos a amostra extra que consta no F02-01-01,"
66945000;1;17/05/2018;01/01/1900 09:35;82;17/05/2018;01/01/1900 08:15;82;318;"105,595";"140,92";"67,7";"0,749";"109,5";318;"23,1";;"171,3";
66945000;1;15/02/2018;01/01/1900 10:00;80;15/02/2018;01/01/1900 08:27;80;434;"182,763";"227,443";"75,96";"0,817";"237,8";432;"27,3";;"79,1";
66945000;1;02/08/2017;01/01/1900 09:35;78;02/08/2017;01/01/1900 08:35;78;162;"66,352";"92,999";"70,95";"0,713";"22,4";262;"20,9";;"75,5";
66945000;1;16/05/2017;01/01/1900 10:20;77;16/05/2017;01/01/1900 08:30;77;593;"301,959";"321,5";"79,0";"0,939";"419,4";584;"23,6";;"85,6";
66945000;1;13/02/2017;01/01/1900 10:05;76;13/02/2017;01/01/1900 08:47;76;386;"153,693";"176,335";"74,36";"0,872";"39,9";370;"28,3";;"94,7";
66945000;1;19/09/2016;01/01/1900 09:30;75;19/09/2016;01/01/1900 08:33;75;258;"66,35";"95,28";"71,32";"1,018";"46,9";258;"22,7";;"81,8";
66945000;1;09/06/2016;01/01/1900 09:25;74;09/06/2016;01/01/1900 08:22;74;476;"212,49";"238,51";"75,5";"0,891";"177,3";467;"18,1";;"90,6";"Amostra continha fração de areia fina,"
66945000;1;24/02/2016;01/01/1900 09:40;73;23/02/2016;01/01/1900 08:37;73;450;"191,203";"241,296";"68,4";"0,818";"608,0";450;"28,0";;;
66945000;1;07/10/2015;01/01/1900 16:35;72;07/10/2015;01/01/1900 16:35;72;310;"99,069";"131,87";"72,28";"0,751";"131,0";312;"30,5";;;
66945000;1;04/06/2015;01/01/1900 10:40;71;04/06/2015;01/01/1900 09:04;71;544;"264,106";"298,12";"77,88";"0,886";"215,7";545;"23,2";;;
66945000;1;12/02/2015;01/01/1900 09:55;70;12/02/2015;01/01/1900 08:38;70;335;"115,799";"144,76";"70,35";"0,817";"155,2";335;;;;
66945000;1;27/09/2014;01/01/1900 09:45;69;27/09/2014;01/01/1900 08:32;69;354;"124,347";"158,58";"73,58";"0,767";"141,7";354;;;;
66945000;1;10/06/2014;01/01/1900 09:50;68;10/06/2014;01/01/1900 08:44;68;454;"204,043";"227,05";"76,4";"0,891";"196,6";451;"22,1";;;
66945000;1;11/02/2014;01/01/1900 10:35;67;11/02/2014;01/01/1900 08:52;67;268;"70,7";"102,58";"69,8";"0,691";"97,9";268;"29,0";;;
66945000;1;17/09/2013;01/01/1900 09:40;66;17/09/2013;01/01/1900 08:26;66;246;"59,525";"85,85";"65,32";"0,687";"96,1";246;"24,4";;;
66945000;1;25/06/2013;01/01/1900 10:10;65;25/06/2013;01/01/1900 09:03;65;326;"105,784";"140,0";"68,5";"0,766";"126,5";327;"22,2";;;
66945000;1;09/03/2013;01/01/1900 10:50;64;09/03/2013;01/01/1900 09:13;64;295;"86,802";"116,0";"71,21";"0,766";"153,9";295;"30,2";;"59,7";
66945000;1;24/07/2012;01/01/1900 10:15;62;24/07/2012;01/01/1900 08:52;62;310;"85,73";"130,0";"70,7";"0,688";"75,5";310;"19,66";;"71,0";"Não chegou a amostra extra no laboratório,"
66945000;1;24/04/2012;01/01/1900 10:10;61;24/04/2012;01/01/1900 08:15;61;392;"133,016";"94,49";"74,7";"0,739";"337,6";392;"35,36";"431,0";"60,63";
66945000;1;21/01/2012;01/01/1900 12:50;60;21/01/2012;01/01/1900 10:00;60;335;"98,723";"137,27";"71,6";"0,719";"91,8";335;"29,4";"106,2";"162,6";
66945000;1;01/09/2011;01/01/1900 10:00;59;01/09/2011;01/01/1900 08:15;59;265;"58,554";"94,49";"68,8";"0,786";"19,33";265;"22,92";"86,85";"76,46";
66945000;1;06/09/2010;01/01/1900 10:30;56;06/09/2010;01/01/1900 07:30;56;247;"44,4";"80,9";"67,0";"0,548";"28,31";247;"22,4";"27,15";"80,76";
66945000;1;10/05/2010;01/01/1900 11:45;55;10/05/2010;01/01/1900 08:30;55;342;"113,0";"138,0";"69,1";"0,818";"141,91";342;"21,9";"166,1";"80,39";
66945000;1;19/10/2009;01/01/1900 10:00;54;19/10/2009;01/01/1900 07:30;54;300;"82,775";"117,74";"70,6";"0,703";"104,91";300;"27,7";"111,05";"82,68";
66945000;1;20/07/2009;01/01/1900 09:00;53;20/07/2009;01/01/1900 07:30;53;258;"54,3";"80,7";"66,0";"0,674";"52,29";258;"23,4";"67,73";"67,61";
66945000;1;30/03/2009;01/01/1900 12:00;52;30/03/2009;01/01/1900 08:20;52;474;"199,0";"248,0";"77,5";"0,8";"385,5";476;;"394,7";"63,33";
66945000;1;15/09/2008;01/01/1900 12:40;51;15/09/2008;01/01/1900 10:15;51;268;"58,0";"85,6";"68,7";"0,677";"59,49";268;"30,0";"20,83";"73,0";
66945000;1;25/06/2008;01/01/1900 12:15;50;25/06/2008;01/01/1900 08:30;50;296;"80,5";"106,0";"70,6";"0,76";"107,92";296;"21,4";"17,71";"81,0";
66945000;1;27/11/2007;01/01/1900 10:20;49;27/11/2007;01/01/1900 07:30;49;311;"84,767";"111,48";"67,4";"0,76";"125,34";311;"27,4";"193,47";"64,0";
66945000;1;16/07/2007;01/01/1900 10:00;48;16/07/2007;01/01/1900 07:00;48;279;"69,164";"86,11";"69,5";"0,803";"1652,86";279;"21,1";;"69,0";
66945000;1;11/04/2007;01/01/1900 10:20;47;11/04/2007;01/01/1900 07:15;47;326;"104,232";"130,26";"71,1";"0,8";"320,32";326;"26,1";;"64,0";
66945000;1;13/07/2006;01/01/1900 09:30;46;13/07/2006;01/01/1900 07:00;46;284;"70,245";"90,99";"68,6";"0,772";"326,0";284;;"123,42";"73,9";
66945000;1;10/11/2005;01/01/1900 10:40;45;10/11/2005;01/01/1900 07:15;45;328;"91,427";"133,36";"70,8";"0,686";"232,73";330;;"243,94";"58,2";
66945000;1;25/07/2005;01/01/1900 11:40;44;25/07/2005;01/01/1900 08:30;44;282;"67,574";"95,99";"69,5";"0,704";"107,09";282;;"46,99";"69,7";
66945000;1;28/07/2004;01/01/1900 10:30;42;28/07/2007;01/01/1900 08:30;42;299;"66,588";"106,85";"68,8";"0,623";"108,26";299;"23,0";"241,55";"78,0";
66945000;1;13/10/2003;01/01/1900 11:50;40;13/10/2003;01/01/1900 08:35;40;566;"281,043";"311,69";"78,7";"0,902";"758,5";573;;"406,42";"48,0";
66945000;1;26/06/2003;01/01/1900 11:10;39;26/06/2003;01/01/1900 08:50;39;291;"69,297";"101,53";"69,4";"0,683";"164,93";291;"29,2";"30,0";"67,0";
66945000;1;04/03/2003;01/01/1900 11:25;38;01/03/2003;01/01/1900 09:10;38;377;"136,179";"168,24";"73,0";"0,809";"217,74";377;"29,2";"278,34";"76,0";
66945000;1;23/04/2002;01/01/1900 13:50;35;23/04/2002;01/01/1900 10:10;35;304;"99,024";"105,72";"70,0";"0,937";"115,68";304;"21,0";"94,26";"73,15";
66945000;1;02/10/2001;01/01/1900 11:30;5;02/10/2001;01/01/1900 09:00;33;349;"103,434";"153,83";"71,1";"0,672";"167,62";345;;"924,59";"57,24";"Concetração da amostra extra questionável,"
66945000;1;12/06/2001;01/01/1900 10:30;4;12/06/2001;01/01/1900 10:30;4;299;"78,49";"103,44";"69,8";"0,759";"128,97";298;;"68,1";"68,57";
66945000;1;20/09/2000;01/01/1900 10:10;3;20/09/2000;01/01/1900 10:10;3;288;"77,77";"106,77";"68,4";"0,728";"121,32";288;;"62,83";"72,02";
66945000;1;23/06/2000;01/01/1900 11:30;2;23/06/2000;01/01/1900 11:30;2;288;"72,2";"96,55";"68,6";"0,748";"128,98";288;;"102,54";"70,53";
66945000;1;30/03/2000;01/01/1900 10:20;1;30/03/2000;01/01/1900 10:20;1;484;"207,0";"270,7";"72,0";"0,763";"356,77";483;;"347,67";"79,23";
