Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoCurva: 1 = Equação, 2 = Tabela
TipoEquacao: 1 = Potência (Q(H) = a(H - h0)^n), 2 = Linear (Q(H) = a0 + a1H), 3 = Parabólica (Q(H) = a0 + a1H + a2H^2), 4 = Cúbica (Q(H) = a0 + a1H + a2H^2 + a3H^3)

Restrições da consulta:
Código da Estação:66010000


EstacaoCodigo;NivelConsistencia;PeriodoValidadeInicio;PeriodoValidadeFim;CotaMaxima;CotaMinima;TipoCurva;NumeroCurva;TipoEquacao;CoefA;CoefH0;CoefN;CoefA0;CoefA1;CoefA2;CoefA3;TabelaPassoCota;TabelaVazao
66010000;2;02/01/1966;12/07/1966;"107,0";"40,0";1;01/03;1;"83,8614";"-0,06";"1,62";;;;;"1,0";
66010000;2;02/01/1966;12/07/1966;"435,0";"107,0";1;02/03;1;"29,5";"-1,17";"1,54";;;;;"1,0";
66010000;2;02/01/1966;12/07/1966;"500,0";"435,0";1;03/03;1;"56,8";"0,76";"1,546";;;;;"1,0";
66010000;2;13/07/1966;28/02/1972;"106,0";"20,0";1;01/04;1;"104,0";"0,17";"1,2";;;;;"1,0";
66010000;2;13/07/1966;28/02/1972;"135,0";"106,0";1;02/04;1;"64,5";"-0,24";"1,281";;;;;"1,0";
66010000;2;13/07/1966;28/02/1972;"499,0";"135,0";1;03/04;1;"28,4";"-1,2";"1,51";;;;;"1,0";
66010000;2;13/07/1966;28/02/1972;"600,0";"499,0";1;04/04;1;"65,0";"1,6";"1,578";;;;;"1,0";
66010000;2;29/02/1972;21/12/1973;"69,0";"30,0";1;01/04;1;"122,0";"0,14";"1,4";;;;;"1,0";
66010000;2;29/02/1972;21/12/1973;"107,0";"69,0";1;02/04;1;"83,8614";"-0,06";"1,62";;;;;"1,0";
66010000;2;29/02/1972;21/12/1973;"435,0";"107,0";1;03/04;1;"29,5";"-1,17";"1,54";;;;;"1,0";
66010000;2;29/02/1972;21/12/1973;"550,0";"435,0";1;04/04;1;"56,8";"0,76";"1,546";;;;;"1,0";
66010000;2;22/12/1973;27/12/1984;"92,0";"50,0";1;01/04;1;"104,0";"0,17";"1,2";;;;;"1,0";
66010000;2;22/12/1973;27/12/1984;"169,0";"92,0";1;02/04;1;"60,7926";"-0,24";"1,281";;;;;"1,0";
66010000;2;22/12/1973;27/12/1984;"499,0";"169,0";1;03/04;1;"28,4";"-1,2";"1,51";;;;;"1,0";
66010000;2;22/12/1973;27/12/1984;"750,0";"499,0";1;04/04;1;"65,0";"1,6";"1,578";;;;;"1,0";
66010000;2;28/12/1984;02/06/1986;"111,0";"60,0";1;01/04;1;"115,0";"0,18";"1,22";;;;;"1,0";
66010000;2;28/12/1984;02/06/1986;"206,0";"111,0";1;02/04;1;"29,5";"-1,17";"1,54";;;;;"1,0";
66010000;2;28/12/1984;02/06/1986;"409,0";"206,0";1;03/04;1;"28,4";"-1,33";"1,51";;;;;"1,0";
66010000;2;28/12/1984;02/06/1986;"500,0";"409,0";1;04/04;1;"56,8";"0,76";"1,546";;;;;"1,0";
66010000;2;03/06/1986;25/06/1987;"107,0";"40,0";1;01/03;1;"98,4551";"0,04";"1,33";;;;;"1,0";
66010000;2;03/06/1986;25/06/1987;"435,0";"107,0";1;02/03;1;"29,5";"-1,17";"1,54";;;;;"1,0";
66010000;2;03/06/1986;25/06/1987;"600,0";"435,0";1;03/03;1;"56,8";"0,76";"1,546";;;;;"1,0";
66010000;2;26/06/1987;11/10/1995;"107,0";"30,0";1;01/03;1;"90,2467";"-0,06";"1,41";;;;;"1,0";
66010000;2;26/06/1987;11/10/1995;"496,0";"107,0";1;02/03;1;"21,5971";"-1,48";"1,71";;;;;"1,0";
66010000;2;26/06/1987;11/10/1995;"800,0";"496,0";1;03/03;1;"56,8";"0,76";"1,546";;;;;"1,0";
66010000;2;12/10/1995;07/03/1998;"102,0";"50,0";1;01/03;1;"63,954";"-0,3";"1,837";;;;;"1,0";
66010000;2;12/10/1995;07/03/1998;"506,0";"102,0";1;02/03;1;"21,5971";"-1,52";"1,71";;;;;"1,0";
