Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MedidorVazao: 1 = ADCP (outros modelos), 2 = ADCP RiverPro de 1200 kHz, 3 = ADCP RiverPro de 600 kHz, 4 = ADCP RiverRay de 600 kHz, 5 = ADCP StreamPro, 6 = ADCP Workhorse Rio Grande de 1200 kHz, 7 = ADCP Workhorse Rio Grande de 300 kHz,
8 = ADCP Workhorse Rio Grande de 600 kHz, 9 = Barco em movimento (moving boat ou smoot), 10 = FlowTracker;11 = Flutuador, 12 = MF Pro;13 = Micromolinete, 14 = Molinete de eixo horizontal, 15 = Molinete de eixo vertical,
16 = RiverSurveyor = M9, 17 = RiverSurveyor = S5, 18 = Volumétrico, 19 = Outros, 20 = Não especificado

Restrições da consulta:
Código da Estação:66900000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;Cota;Vazao;AreaMolhada;Largura;VelMedia;Profundidade;tecnico;medidorvazao
66900000;1;27/03/2024;01/01/1900 10:24;146;"100,0";"21,318";"60,442";"48,24";"0,353";"1,252";Robson / Pedro;16
66900000;1;16/01/2024;01/01/1900 10:39;145;"126,0";"32,267";"46,09";"55,977";"0,7";"0,823";Sebastião / Aldrei;16
66900000;1;21/09/2023;01/01/1900 10:16;144;"124,0";"33,896";"47,901";"60,681";"0,708";"0,789";Wallace/Thales;16
66900000;1;18/05/2023;01/01/1900 09:50;143;"171,0";"71,0";"67,0";"67,77";"1,06";"0,99";Altair / Jessivan;16
66900000;1;21/09/2022;01/01/1900 09:33;142;"112,0";"27,1";"34,2";"61,24";"0,792";"0,558";Altair/Jessivan;16
66900000;1;15/06/2022;01/01/1900 09:44;141;"133,0";"41,357";"42,898";"65,045";"0,964";"0,659";Altair / Leonardo;16
66900000;1;11/03/2022;01/01/1900 09:06;140;"106,0";"24,515";"33,477";"63,134";"0,732";"0,53";Altair/Manze;16
66900000;2;03/11/2021;01/01/1900 09:22;139;"126,0";"38,3";"40,2";"63,5";"0,952";"0,63";Altair/Ivanildo;16
66900000;1;03/11/2021;01/01/1900 09:22;139;"126,0";"38,304";"40,236";"63,526";"0,952";"0,63";Altair/Ivanildo;16
66900000;2;03/09/2021;01/01/1900 11:19;138;"115,0";"25,3";"33,3";"50,3";"0,758";"0,66";Watson/Victor;4
66900000;1;03/09/2021;01/01/1900 11:19;138;"115,0";"25,3";"33,3";"50,3";"0,758";"0,663";Watson/Victor;4
66900000;2;28/01/2021;01/01/1900 11:08;137;"562,0";"458,0";"386,0";"99,7";"1,19";"3,88";Victor/Ivanildo;4
66900000;1;28/01/2021;01/01/1900 11:08;137;"562,0";"458,0";"386,4";"99,7";"1,19";"3,88";Victor/Ivanildo;4
66900000;2;04/02/2020;01/01/1900 08:41;136;"458,0";"326,0";"284,0";"77,9";"1,15";"3,64";Altair/Manze;16
66900000;1;04/02/2020;01/01/1900 08:41;136;"458,0";"325,723";"283,957";"77,941";"1,147";"3,64";Altair/Manze;16
66900000;2;08/11/2019;01/01/1900 09:25;135;"135,0";"44,4";"44,5";"65,4";"0,999";"0,68";Altair/Manze;16
66900000;1;08/11/2019;01/01/1900 09:25;135;"135,0";"44,434";"44,487";"65,375";"0,999";"0,68";Altair/Manze;16
66900000;2;12/08/2019;01/01/1900 09:35;134;"135,0";"45,8";"45,4";"65,0";"1,01";"0,7";Altair/Manze;14
66900000;1;12/08/2019;01/01/1900 09:35;134;"135,0";"45,768";"45,36";"65,0";"1,009";"0,7";Altair/Manze;14
66900000;2;15/05/2019;01/01/1900 09:20;133;"210,0";"94,2";"93,7";"70,2";"1,0";"1,34";Altair/Manze;16
66900000;1;15/05/2019;01/01/1900 09:20;133;"210,0";"94,2";"93,7";"70,19";"1,005";"1,34";Altair/Manze;16
66900000;2;14/02/2019;01/01/1900 10:59;132;"145,0";"58,2";"54,8";"70,6";"1,06";"0,78";Indimar/Thiago;16
66900000;1;14/02/2019;01/01/1900 10:59;132;"145,0";"58,22";"54,824";"70,62";"1,062";"0,776";Indimar/Thiago;16
66900000;2;05/11/2018;01/01/1900 09:05;130;"548,0";"406,0";"345,0";"77,0";"1,18";"4,48";ALTAIR/MANZE;14
66900000;1;05/11/2018;01/01/1900 10:47;131;"545,0";"336,0";"286,0";"67,41";"1,175";"4,244";ALTAIR/MANZE;16
66900000;1;05/11/2018;01/01/1900 09:05;130;"548,0";"405,792";"344,59";"77,0";"1,178";"4,48";ALTAIR/MANZE;14
66900000;2;08/08/2018;01/01/1900 09:27;129;"195,0";"92,8";"90,8";"69,7";"1,02";"1,3";"Altair/Manze,";16
66900000;1;08/08/2018;01/01/1900 09:27;129;"195,0";"92,776";"90,819";"69,651";"1,022";"1,303";"Altair/Manze,";16
66900000;2;12/05/2018;01/01/1900 09:10;128;"195,0";"103,0";"100,0";"67,4";"1,03";"1,49";"Altair/Jessivan,";14
66900000;1;12/05/2018;01/01/1900 09:10;128;"184,0";"102,921";"100,09";"67,4";"1,028";"1,49";"Altair/Jessivan,";14
66900000;2;09/02/2018;01/01/1900 09:07;127;"190,0";"93,7";"92,6";"72,9";"1,01";"1,27";Altair / Thiago;16
66900000;1;09/02/2018;01/01/1900 09:07;127;"190,0";"93,678";"92,607";"72,905";"1,011";"1,27";Altair / Thiago;16
66900000;2;11/11/2017;01/01/1900 08:58;126;"782,0";"692,0";"543,0";"86,8";"1,27";"6,26";"Altair/Jessivan,";16
66900000;1;11/11/2017;01/01/1900 08:58;126;"782,0";"691,97";"543,31";"86,78";"1,273";"6,26";"Altair/Jessivan,";16
66900000;2;28/07/2017;01/01/1900 09:53;125;"136,0";"44,5";"46,8";"68,4";"0,95";"0,68";Altair/Joel;16
66900000;1;28/07/2017;01/01/1900 09:53;125;"136,0";"44,5";"46,8";"68,4";"0,95";"1,25";Altair/Joel;16
66900000;2;13/05/2017;01/01/1900 09:58;124;"210,0";"103,0";"99,3";"70,6";"1,04";"1,41";Altair/Yuri Leonardo;16
66900000;1;13/05/2017;01/01/1900 09:58;124;"210,0";"102,848";"99,314";"70,613";"1,036";"1,41";Altair/Yuri Leonardo;16
66900000;2;08/02/2017;01/01/1900 10:34;123;"230,0";"122,0";"114,0";"71,0";"1,07";"1,6";;
66900000;1;08/02/2017;01/01/1900 10:34;123;"230,0";"122,343";"113,961";"71,023";"1,074";"1,6";;
66900000;2;14/09/2016;01/01/1900 09:45;122;"139,0";"49,3";"48,4";"63,4";"1,02";"0,76";;
66900000;1;14/09/2016;01/01/1900 09:45;122;"139,0";"49,299";"48,423";"63,403";"1,018";"0,76";;
66900000;2;04/06/2016;01/01/1900 11:00;121;"301,0";"173,0";"161,0";"60,0";"1,08";"2,68";;
66900000;1;04/06/2016;01/01/1900 11:00;121;"301,0";"172,592";"160,59";"60,0";"1,075";"2,68";;
66900000;2;18/02/2016;01/01/1900 09:28;120;"246,0";"121,0";"107,0";"70,5";"1,12";"1,52";;
66900000;1;18/02/2016;01/01/1900 09:28;120;"246,0";"120,531";"107,408";"70,521";"1,122";"1,52";;0
66900000;2;03/10/2015;01/01/1900 08:50;119;"308,0";"174,0";"166,0";"71,4";"1,05";"2,32";;
66900000;1;03/10/2015;01/01/1900 08:50;119;"308,0";"174,331";"165,914";"71,378";"1,051";"2,32";;
