Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido

Restrições da consulta:
Código da Estação:66750000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;DataLiq;HoraLiq;NumMedicaoLiq;Cota;Vazao;AreaMolhada;Largura;VelMedia;ConcentracaoMatSuspensao;CotaDeMedicao;TemperaturaDaAgua;ConcentracaoDaAmostraExtra;CondutividadeEletrica;Observacoes
66750000;1;07/12/2023;01/01/1900 11:55;93;07/12/2023;01/01/1900 10:06;93;352;"431,383";"618,964";"173,229";"0,697";"197,8";352;"31,2";;"64,03";
66750000;1;29/08/2023;01/01/1900 10:33;92;29/08/2023;01/01/1900 10:33;92;343;"381,83";"578,282";"170,4";"0,66";"83,5";343;"28,1";;"62,4";
66750000;1;26/04/2023;01/01/1900 13:00;91;26/04/2023;01/01/1900 11:05;91;577;"897,0";"998,4";"186,3";"0,898";"23,0";577;"28,3";;"78,8";
66750000;1;25/06/2022;01/01/1900 12:30;90;25/06/2022;01/01/1900 11:00;90;415;"531,0";"685,5";"167,7";"0,775";"58,2";415;"25,8";;"164,0";
66750000;1;28/01/2021;01/01/1900 11:50;87;28/01/2021;01/01/1900 10:40;87;472;"644,01";"734,922";"171,417";"0,876";"66,8";472;"30,3";;"36,7";
66750000;1;03/02/2020;01/01/1900 12:39;86;03/02/2020;01/01/1900 07:16;86;464;"654,427";"833,15";"181,49";"0,786";"56,3";464;"31,7";;"41,7";
66750000;1;22/11/2019;01/01/1900 09:35;85;22/11/2019;01/01/1900 08:10;85;392;"508,33";"703,62";"174,35";"0,736";"84,8";392;"31,9";;"41,9";
66750000;1;24/05/2019;01/01/1900 10:18;83;24/05/2019;01/01/1900 09:54;83;571;"900,0";"1020,5";"183,6";"0,882";"26,7";571;"25,0";;"40,0";
66750000;1;19/02/2019;01/01/1900 10:12;82;19/02/2019;01/01/1900 09:02;82;552;"827,0";"988,1";"179,3";"0,837";"38,3";552;"26,2";;"43,6";
66750000;1;14/11/2018;01/01/1900 09:05;81;14/11/2018;01/01/1900 06:31;81;456;"601,0";"813,1";"172,1";"0,739";"68,1";456;"31,7";;"36,0";
66750000;1;17/05/2018;01/01/1900 09:52;79;17/05/2018;01/01/1900 08:00;79;592;"1034,064";"1095,43";"183,8";"0,944";"15,1";592;"27,0";;"37,7";
66750000;1;15/02/2018;01/01/1900 14:38;78;15/02/2018;01/01/1900 11:58;78;585;"908,631";"1013,094";"187,47";"0,897";"29,7";585;"29,6";;"47,0";
66750000;1;30/10/2017;01/01/1900 10:44;77;30/10/2017;01/01/1900 10:14;77;352;"411,433";"611,111";"169,11";"0,674";"95,0";352;"29,4";;"49,0";
