Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoSecao: 1 = Régua, 2 = Medição

Restrições da consulta:
Código da Estação:66910000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumLevantamento;TipoSecao;NumVerticais;DistanciaPIPF;EixoXDistMaxima;EixoXDistMinima;EixoYCotaMaxima;EixoYCotaMinima;ElmGeomPassoCota;Observacoes;Vertical
66910000;1;07/12/2022;;;1;39;"116,9";;;;;"10,0";;"16,9,841|114,9,783|112,9,665|111,9,609|110,9,562|100,9,556|96,9,553|92,9,508|88,9,468|84,9,409|82,9,356|81,9,315|79,9,245|78,4,210|73,9,-142|73,13,-181|70,97,-272|69,34,-360|66,5,-410|62,9,-437|58,84,-434|53,68,-421|49,51,-412|40,13,-385|37,91,-380|32,15,-310|28,37,-286|25,83,-250|23,14,-178|20,1,208|19,1,269|17,1,322|16,1,394|14,9,457|11,9,538|7,9,591|3,9,649|1,9,771|0,829|"
66910000;1;01/09/2021;;;2;34;"126,48";;;;;"10,0";;"26,48,564|106,48,468|101,48,531|96,48,455|91,48,384|86,48,315|81,48,240|79,78,191|78,28,190|74,05,-156|70,96,-234|68,11,-263|64,98,-266|61,81,-263|59,08,-253|56,16,-243|53,13,-219|50,1,-206|46,98,-205|44,27,-200|41,17,-194|38,15,-178|34,94,-178|32,18,-138|28,97,-112|25,92,-54|23,13,22|20,4,20|16,9,190|14,9,191|13,311|12,505|5,577|0,663|"
66910000;2;01/09/2021;01/01/1900 00:00;0;2;34;"126,48";"134,48";"8,0";"663,0";"-266,0";"1,0";"Aplicado deslocamento horizontal de 8 m,";"34,48,564|114,48,468|109,48,531|104,48,455|99,48,384|94,48,315|89,48,240|87,78,191|86,28,190|82,05,-156|78,96,-234|76,11,-263|72,98,-266|69,81,-263|67,08,-253|64,16,-243|61,13,-219|58,1,-206|54,98,-205|52,27,-200|49,17,-194|46,15,-178|42,94,-178|40,18,-138|36,97,-112|33,92,-54|31,13,22|28,4,20|24,9,190|22,9,191|21,311|20,505|13,577|8,663|"
66910000;2;18/07/2019;01/01/1900 00:00;0;2;31;"104,88";"110,88";"6,0";"659,0";"-221,0";"1,0";"Aplicado deslocamento horizontal de 6 m,";",622|14,610|19,592|24,430|26,322|26,9,276|27,9,245|31,36,101|35,13,38|38,54,38|42,37,33|45,38,-21|49,47,-31|52,56,-39|56,1,-78|59,09,-96|63,12,-174|66,37,-198|70,38,-221|73,75,-213|77,21,-212|80,38,-143|84,18,32|87,18,203|88,18,276|90,38,466|92,38,545|97,38,593|103,88,659|108,88,653|110,88,541|"
66910000;1;18/07/2019;;;2;31;"83,38";;;;;"10,0";;"04,88,541|102,88,653|97,88,659|91,38,593|86,38,545|84,38,466|82,18,276|81,18,203|78,18,32|74,38,-143|71,21,-212|67,75,-213|64,38,-221|60,37,-198|57,12,-174|53,09,-96|50,1,-78|46,56,-39|43,47,-31|39,38,-21|36,37,33|32,54,38|29,13,38|25,36,101|21,9,245|20,9,276|20,322|18,430|13,592|8,610|0,622|"
66910000;1;18/07/2019;;;2;31;"83,38";"0,0";"0,0";"0,0";"0,0";"10,0";;"0,9,276|20,322|18,430|13,592|8,610|0,622|104,88,541|102,88,653|97,88,659|91,38,593|86,38,545|84,38,466|82,18,276|81,18,203|78,18,32|74,38,-143|71,21,-212|67,75,-213|64,38,-221|60,37,-198|57,12,-174|53,09,-96|50,1,-78|46,56,-39|43,47,-31|39,38,-21|36,37,33|32,54,38|29,13,38|25,36,101|21,9,245|"
66910000;1;21/07/2018;;;2;30;"77,46";;;;;"10,0";;"0,46,656|85,46,543|83,66,448|82,16,334|80,66,249|79,66,186|76,83,-20|74,27,-196|70,77,-207|68,22,-187|64,1,-187|60,97,-143|57,7,-97|54,53,-73|51,9,-58|48,58,-28|45,89,-3|43,01,4|39,64,21|37,1,30|33,89,46|30,34,55|27,74,55|24,5,112|22,5,249|20,5,354|18,432|13,593|8,607|0,630|"
66910000;2;21/07/2018;01/01/1900 00:00;0;2;30;"90,46";"98,46";"8,0";"656,0";"-207,0";"1,0";"Aplicado deslocamento horizontal de 8 m,";"6,22,-187|78,77,-207|82,27,-196|84,83,-20|87,66,186|88,66,249|90,16,334|91,66,448|93,46,543|98,46,656|72,1,-187|68,97,-143|65,7,-97|62,53,-73|59,9,-58|56,58,-28|53,89,-3|51,01,4|47,64,21|45,1,30|41,89,46|38,34,55|35,74,55|32,5,112|30,5,249|28,5,354|26,432|21,593|16,607|8,630|"
66910000;2;13/10/2017;01/01/1900 00:00;0;2;28;"95,4";"103,4";"8,0";"610,0";"-202,0";"1,0";"Aplicado deslocamento horizontal de 8 m,";",610|16,06,600|22,06,553|24,483|26,5,384|29,306|30,8,222|31,86,197|35,27,68|38,84,2|41,72,-22|45,63,-34|49,11,-21|52,75,-64|56,11,-75|60,05,-94|63,1,-122|66,95,-165|70,14,-192|74,17,-192|77,03,-202|80,72,-124|85,4,141|86,4,222|89,4,355|98,4,579|101,9,482|103,4,561|"
66910000;1;13/10/2017;;;2;28;"77,4";"0,0";"0,0";"0,0";"0,0";"10,0";;",610|8,06,600|14,06,553|16,483|18,5,384|21,306|22,8,222|23,86,197|27,27,68|30,84,2|33,72,-22|37,63,-34|41,11,-21|44,75,-64|48,11,-75|52,05,-94|55,1,-122|58,95,-165|62,14,-192|66,17,-192|69,03,-202|72,72,-124|77,4,141|78,4,222|81,4,355|90,4,579|93,9,482|95,4,561|"
