Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido

Restrições da consulta:
Código da Estação:66910000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;DataLiq;HoraLiq;NumMedicaoLiq;Cota;Vazao;AreaMolhada;Largura;VelMedia;ConcentracaoMatSuspensao;CotaDeMedicao;TemperaturaDaAgua;ConcentracaoDaAmostraExtra;CondutividadeEletrica;Observacoes
66910000;1;04/07/2023;01/01/1900 11:00;93;04/07/2023;01/01/1900 10:16;93;305;"71,915";"226,302";"60,327";"0,318";"56,5";305;"22,1";;"1032,9";
66910000;1;09/02/2023;01/01/1900 10:55;92;09/02/2023;01/01/1900 09:14;92;549;"174,726";"328,649";"62,129";"0,532";"96,7";549;"27,3";;"117,8";
66910000;1;13/07/2022;01/01/1900 11:45;90;13/07/2022;01/01/1900 09:10;90;147;"29,2";"132,2";"56,4";"0,221";"23,4";147;"22,2";;"209,6";
66910000;1;27/04/2022;01/01/1900 11:30;89;27/04/2022;01/01/1900 09:56;89;220;"47,197";"176,027";"59,591";"0,268";"65,3";220;"27,6";;"222,4";
66910000;1;02/02/2021;01/01/1900 12:30;87;02/02/2021;01/01/1900 10:49;87;729;"533,962";"515,902";"66,6";"1,035";"21,1";729;"28,1";;"981,7";
66910000;1;30/10/2019;01/01/1900 09:00;86;30/10/2019;01/01/1900 07:50;86;172;"33,719";"176,345";"53,31";"0,191";"92,4";172;"31,2";;"770,4";
66910000;1;18/07/2019;01/01/1900 10:10;85;18/07/2019;01/01/1900 08:23;85;276;"63,443";"198,489";"61,27";"0,318";"52,3";276;"21,0";;"314,8";
66910000;1;15/04/2019;01/01/1900 10:20;84;15/04/2019;01/01/1900 09:47;84;578;"209,835";"393,068";"70,16";"0,463";"64,9";578;"26,5";;"378,0";
66910000;1;20/10/2018;01/01/1900 10:00;82;20/10/2018;01/01/1900 08:19;82;618;"254,16";"577,139";"131,88";"0,44";"54,9";617;"27,2";;"467,6";
66910000;1;21/07/2018;01/01/1900 09:20;81;21/07/2018;01/01/1900 08:41;81;249;"51,201";"172,122";"57,93";"0,297";"32,4";249;"21,6";;"387,6";
66910000;1;20/04/2018;01/01/1900 10:30;80;20/04/2018;01/01/1900 09:03;80;462;"116,728";"318,071";"64,684";"0,361";"65,8";462;"27,1";;"734,2";
66910000;1;13/10/2017;01/01/1900 10:05;78;13/10/2017;01/01/1900 08:51;78;222;"46,7";"161,547";"55,6";"0,287";"93,1";222;"30,7";;"220,0";
66910000;1;11/07/2017;01/01/1900 10:10;77;11/07/2017;01/01/1900 08:55;77;267;"58,565";"182,66";"55,98";"0,322";"23,7";267;"22,2";;"252,0";
66910000;1;23/04/2017;01/01/1900 10:05;76;23/04/2017;01/01/1900 08:29;76;435;"121,57";"290,008";"63,83";"0,422";"177,6";435;"24,5";;"177,1";
66910000;1;11/11/2016;01/01/1900 09:30;75;11/11/2016;01/01/1900 08:22;75;224;"45,085";"162,07";"54,16";"0,277";"70,1";224;"30,2";;"197,8";
66910000;1;08/08/2016;01/01/1900 10:40;74;08/08/2016;01/01/1900 09:09;74;262;"57,081";"193,875";"60,59";"0,298";"45,6";262;"23,7";;"7,1";
66910000;1;22/11/2015;01/01/1900 09:30;72;22/11/2015;01/01/1900 08:03;72;378;"104,008";"250,521";"59,09";"0,416";"213,1";378;"27,3";;;
66910000;1;25/08/2015;01/01/1900 09:30;71;25/08/2015;01/01/1900 07:59;71;175;"41,21";"161,36";"55,12";"0,264";"42,8";215;"25,4";;;
66910000;1;17/04/2015;01/01/1900 09:30;70;17/04/2015;01/01/1900 08:20;70;556;"178,475";"461,4";"86,88";"0,379";"99,9";556;;;;
66910000;1;17/11/2014;01/01/1900 09:45;69;17/11/2014;01/01/1900 07:53;69;524;"153,003";"418,94";"88,646";"0,354";"283,4";524;"25,3";;;
66910000;1;28/08/2014;01/01/1900 09:30;68;28/08/2014;01/01/1900 08:57;68;262;"55,529";"136,704";"55,884";"0,475";"42,4";262;"23,9";;;
66910000;1;23/04/2014;01/01/1900 10:15;67;23/04/2014;01/01/1900 08:38;67;366;"84,121";"262,9";"61,79";"0,322";"111,8";366;"26,3";;;
66910000;1;01/11/2013;01/01/1900 10:30;66;01/11/2013;01/01/1900 09:23;66;409;"118,778";"281,99";"62,03";"0,421";"210,1";409;"29,6";;;
66910000;1;05/08/2013;01/01/1900 10:40;65;05/08/2013;01/01/1900 16:45;65;302;"72,159";"304,3";"58,5";"0,229";"56,6";302;"22,8";;;
66910000;1;02/05/2013;01/01/1900 10:15;63;02/05/2013;01/01/1900 08:52;63;483;"110,379";"347,09";"64,98";"0,306";"61,6";483;"26,3";;"182,5";
66910000;1;13/12/2012;01/01/1900 09:20;62;13/12/2012;01/01/1900 07:52;62;206;"44,499";"141,7";"59,11";"0,314";"89,8";206;"31,4";;"177,2";
66910000;1;16/06/2012;01/01/1900 13:00;60;16/06/2012;01/01/1900 11:00;60;300;"67,585";"193,75";"58,0";"0,349";"108,0";300;"22,6";;"176,9";
66910000;1;27/03/2012;01/01/1900 11:35;59;27/03/2012;01/01/1900 08:30;59;316;"79,635";"204,96";"60,0";"0,399";"210,0";316;"27,5";;"158,6";
66910000;1;19/10/2011;01/01/1900 16:20;58;19/10/2011;01/01/1900 13:30;58;193;"42,904";"138,57";"53,3";"0,31";"64,88";193;"28,4";;"219,5";
66910000;1;28/07/2011;01/01/1900 09:50;57;28/07/2011;01/01/1900 06:50;57;263;"64,353";"174,92";"55,6";"0,368";"49,09";263;"22,8";;"228,9";
