Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MedidorVazao: 1 = ADCP (outros modelos), 2 = ADCP RiverPro de 1200 kHz, 3 = ADCP RiverPro de 600 kHz, 4 = ADCP RiverRay de 600 kHz, 5 = ADCP StreamPro, 6 = ADCP Workhorse Rio Grande de 1200 kHz, 7 = ADCP Workhorse Rio Grande de 300 kHz,
8 = ADCP Workhorse Rio Grande de 600 kHz, 9 = Barco em movimento (moving boat ou smoot), 10 = FlowTracker;11 = Flutuador, 12 = MF Pro;13 = Micromolinete, 14 = Molinete de eixo horizontal, 15 = Molinete de eixo vertical,
16 = RiverSurveyor = M9, 17 = RiverSurveyor = S5, 18 = Volumétrico, 19 = Outros, 20 = Não especificado

Restrições da consulta:
Código da Estação:67030000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;Cota;Vazao;AreaMolhada;Largura;VelMedia;Profundidade;tecnico;medidorvazao
67030000;2;11/12/1978;01/01/1900 07:00;28;"365,0";"1808,0";"3044,0";"311,0";"0,593";"9,8";;
67030000;1;11/12/1978;01/01/1900 07:00;28;"365,0";"1808,0";"3044,0";"311,0";"0,593";"9,8";;
67030000;2;10/10/1978;01/01/1900 07:00;27;"460,0";"2224,0";"3192,0";"339,0";"0,696";"9,4";;
67030000;1;10/10/1978;01/01/1900 07:00;27;"460,0";"2224,0";"3192,0";"339,0";"0,696";"9,4";;
67030000;2;23/08/1978;01/01/1900 07:00;26;"601,0";"3162,0";"3870,0";"401,0";"0,817";"9,65";;
67030000;1;23/08/1978;01/01/1900 07:00;26;"601,0";"3162,0";"3870,0";"401,0";"0,817";"9,65";;
67030000;2;14/06/1978;01/01/1900 07:00;25;"623,0";"3455,0";"3923,0";"406,0";"0,88";"9,67";;
67030000;1;14/06/1978;01/01/1900 07:00;25;"623,0";"3455,0";"3923,0";"406,0";"0,88";"9,67";;
67030000;2;11/04/1978;01/01/1900 07:00;24;"557,0";"3009,0";"3557,0";"393,0";"0,846";"9,04";;
67030000;1;11/04/1978;01/01/1900 07:00;24;"557,0";"3009,0";"3557,0";"393,0";"0,846";"9,04";;
67030000;2;17/02/1978;01/01/1900 07:00;23;"518,0";"2902,0";"3445,0";"395,0";"0,842";"8,73";;
67030000;1;17/02/1978;01/01/1900 07:00;23;"518,0";"2902,0";"3445,0";"395,0";"0,842";"8,73";;
67030000;2;19/12/1977;01/01/1900 07:00;22;"442,0";"2317,0";"3263,0";"355,0";"0,71";"9,19";;
67030000;1;19/12/1977;01/01/1900 07:00;22;"442,0";"2317,0";"3263,0";"355,0";"0,71";"9,19";;
67030000;2;10/10/1977;01/01/1900 07:00;21;"608,0";"2845,0";"3460,0";"377,0";"0,822";"9,17";;
67030000;1;10/10/1977;01/01/1900 07:00;21;"608,0";"2845,0";"3460,0";"377,0";"0,822";"9,17";;
67030000;2;19/08/1977;01/01/1900 07:00;20;"680,0";"2891,0";"3678,0";"383,0";"0,785";"9,61";;
67030000;1;19/08/1977;01/01/1900 07:00;20;"680,0";"2891,0";"3678,0";"383,0";"0,785";"9,61";;
67030000;2;22/09/1976;01/01/1900 07:00;19;"532,0";"2768,0";"3476,0";"391,0";"0,8";"8,86";;
67030000;1;22/09/1976;01/01/1900 07:00;19;"532,0";"2768,0";"3476,0";"391,0";"0,8";"8,86";;
67030000;2;08/06/1976;01/01/1900 07:00;18;"522,0";"2572,0";"3433,0";"391,0";"0,75";"8,78";;
67030000;1;08/06/1976;01/01/1900 07:00;18;"522,0";"2572,0";"3433,0";"391,0";"0,75";"8,78";;
67030000;2;21/02/1976;01/01/1900 07:00;17;"378,0";"1855,0";"2808,0";"332,0";"0,66";"8,46";;
67030000;1;21/02/1976;01/01/1900 07:00;17;"378,0";"1855,0";"2808,0";"332,0";"0,66";"8,46";;
67030000;2;01/07/1975;01/01/1900 07:00;16;"456,0";"2335,0";"3050,0";"342,0";"0,77";"8,91";;
67030000;1;01/07/1975;01/01/1900 07:00;16;"456,0";"2335,0";"3050,0";"342,0";"0,77";"8,91";;
67030000;2;05/03/1975;01/01/1900 07:00;15;"361,0";"1854,0";"2739,0";"333,0";"0,68";"8,23";;
67030000;1;05/03/1975;01/01/1900 07:00;15;"361,0";"1854,0";"2739,0";"333,0";"0,68";"8,23";;
67030000;2;07/07/1974;01/01/1900 07:00;14;"658,0";"2972,0";"3856,0";"407,0";"0,77";"9,47";;
67030000;1;07/07/1974;01/01/1900 07:00;14;"658,0";"2972,0";"3856,0";"407,0";"0,77";"9,47";;
67030000;2;06/07/1974;01/01/1900 07:00;13;"656,0";"2968,0";"3872,0";"406,0";"0,77";"9,54";;
67030000;1;06/07/1974;01/01/1900 07:00;13;"656,0";"2968,0";"3872,0";"406,0";"0,77";"9,54";;
67030000;2;22/04/1974;01/01/1900 07:00;12;"548,0";"2608,0";"3322,0";"384,0";"0,78";"8,64";;
67030000;1;22/04/1974;01/01/1900 07:00;12;"548,0";"2608,0";"3322,0";"384,0";"0,78";"8,64";;
67030000;2;20/04/1974;01/01/1900 07:00;11;"549,0";"2650,0";"3510,0";"389,0";"0,76";"9,02";;
67030000;1;20/04/1974;01/01/1900 07:00;11;"549,0";"2650,0";"3510,0";"389,0";"0,76";"9,02";;
67030000;2;24/07/1973;01/01/1900 07:00;10;"237,0";"1287,0";"2354,0";"337,0";"0,55";"6,99";;
67030000;1;24/07/1973;01/01/1900 07:00;10;"237,0";"1287,0";"2354,0";"337,0";"0,55";"6,99";;
67030000;2;05/04/1973;01/01/1900 07:00;9;"273,0";"1544,0";"2515,0";"345,0";"0,61";"7,3";;
67030000;1;05/04/1973;01/01/1900 07:00;9;"273,0";"1544,0";"2515,0";"345,0";"0,61";"7,3";;
67030000;2;23/08/1972;01/01/1900 07:00;8;"148,0";"957,0";"2043,0";"321,0";"0,47";"6,36";;
67030000;1;23/08/1972;01/01/1900 07:00;8;"148,0";"957,0";"2043,0";"321,0";"0,47";"6,36";;
67030000;2;27/01/1972;01/01/1900 07:00;7;"120,0";"943,0";"2023,0";"319,0";"0,47";"6,34";;
67030000;1;27/01/1972;01/01/1900 07:00;7;"120,0";"943,0";"2023,0";"319,0";"0,47";"6,34";;
67030000;2;03/12/1971;01/01/1900 07:00;6;"88,0";"795,0";"1730,0";"301,0";"0,46";"5,75";;
67030000;1;03/12/1971;01/01/1900 07:00;6;"88,0";"795,0";"1730,0";"301,0";"0,46";"5,75";;
67030000;2;16/09/1971;01/01/1900 07:00;5;"29,0";"573,0";"1710,0";"311,0";"0,33";"5,5";;
67030000;1;16/09/1971;01/01/1900 07:00;5;"29,0";"573,0";"1710,0";"311,0";"0,33";"5,5";;
67030000;2;07/09/1971;01/01/1900 07:00;4;"43,0";"616,0";"1704,0";"305,0";"0,36";"5,59";;
67030000;1;07/09/1971;01/01/1900 07:00;4;"43,0";"616,0";"1704,0";"305,0";"0,36";"5,59";;
67030000;2;29/06/1971;01/01/1900 07:00;3;"145,0";"910,0";"1934,0";"297,0";"0,47";"6,51";;
67030000;1;29/06/1971;01/01/1900 07:00;3;"145,0";"910,0";"1934,0";"297,0";"0,47";"6,51";;
67030000;2;06/05/1971;01/01/1900 07:00;2;"188,0";"1202,0";"2220,0";"188,0";"0,54";"11,8";;0
67030000;1;06/05/1971;01/01/1900 07:00;2;"188,0";"1202,0";"2220,0";"188,0";"0,54";"1,18";;
67030000;2;05/05/1971;01/01/1900 07:00;1;"188,0";"1365,0";"3050,0";"237,0";"0,44";"12,9";;0
67030000;1;05/05/1971;01/01/1900 07:00;1;"188,0";"1365,0";"3050,0";"237,0";"0,44";"1,29";;
